year,cdd,Station,csdi,cwd,DTR,FD,gsl,ID,prcptot,R10mm,R20mm,r95p,r99p,Rnnmm,RX1day,RX5day,sdii,SU,TN10p,TN50p,TN90p,TNn,TNx,TR,TX10p,TX50p,TX90p,TXn,TXx,wsdi,Station_name
1901,19.0,61700004063,18.0,5.0,10.34,106.0,253.0,29.0,748.4,18.0,6.0,259.9,125.0,3.0,51.7,63.3,6.5,53.0,10.68,46.03,5.48,-23.8,17.7,0.0,10.68,55.07,9.32,-10.9,33.1,12.0,
1902,23.0,61700004063,13.0,6.0,10.11,99.0,227.0,15.0,571.2,14.0,2.0,77.8,0.0,0.0,21.8,54.6,4.8,38.0,10.41,41.64,9.86,-17.1,18.1,0.0,10.41,54.52,9.59,-10.6,33.7,8.0,
1903,20.0,61700004063,0.0,5.0,9.96,97.0,316.0,18.0,532.1,9.0,2.0,44.8,0.0,0.0,24.2,45.0,4.9,46.0,5.48,47.95,9.32,-13.8,17.3,0.0,5.48,55.62,16.44,-5.6,32.0,23.0,
1904,19.0,61700004063,0.0,6.0,9.67,101.0,234.0,28.0,515.5,12.0,0.0,119.8,0.0,0.0,18.6,29.0,4.8,50.0,4.38,50.41,9.04,-12.9,16.6,0.0,4.38,56.44,9.59,-4.5,35.1,0.0,
1905,11.0,61700004063,0.0,6.0,9.24,103.0,223.0,15.0,624.5,13.0,2.0,86.2,0.0,1.0,26.4,50.2,4.9,56.0,10.14,50.41,9.04,-19.9,20.2,1.0,10.14,54.25,9.59,-9.5,34.4,7.0,
1906,20.0,61700004063,6.0,10.0,9.76,104.0,241.0,17.0,667.2,17.0,5.0,195.7,77.9,2.0,47.8,62.9,5.6,47.0,8.49,51.51,10.41,-13.5,17.9,0.0,8.49,56.44,13.97,-6.2,32.8,6.0,
1907,18.0,61700004063,0.0,8.0,10.08,97.0,235.0,15.0,480.4,12.0,1.0,107.4,0.0,0.0,20.5,30.7,4.4,41.0,6.3,43.56,5.75,-16.4,18.5,0.0,6.3,58.36,12.33,-7.8,32.6,0.0,
1908,27.0,61700004063,13.0,7.0,9.8,127.0,174.0,25.0,600.7,11.0,2.0,178.4,106.2,2.0,74.5,87.0,5.3,44.0,10.14,36.71,4.38,-17.2,16.2,0.0,10.14,45.75,7.67,-9.5,33.0,0.0,
1909,19.0,61700004063,0.0,7.0,9.48,114.0,230.0,24.0,656.7,17.0,1.0,136.5,32.3,1.0,32.3,52.7,5.8,21.0,7.67,40.0,4.38,-15.2,17.0,0.0,7.67,47.4,5.75,-6.0,29.8,0.0,
1910,16.0,61700004063,0.0,7.0,9.21,99.0,264.0,3.0,724.2,18.0,4.0,173.4,82.8,2.0,44.8,58.5,5.5,24.0,4.93,48.77,7.4,-13.0,16.6,0.0,4.93,51.78,9.86,-3.0,29.7,6.0,
1911,39.0,61700004063,0.0,9.0,10.71,98.0,245.0,14.0,365.6,6.0,0.0,15.6,0.0,0.0,15.6,37.8,4.3,69.0,1.92,54.25,9.32,-19.2,20.3,2.0,1.92,66.58,16.44,-6.4,36.9,19.0,
1912,21.0,61700004063,7.0,5.0,9.34,93.0,252.0,19.0,572.1,12.0,0.0,49.1,0.0,0.0,17.0,41.9,4.4,28.0,10.68,45.48,8.22,-19.6,15.3,0.0,10.68,52.6,9.59,-8.0,30.7,7.0,
1913,22.0,61700004063,0.0,9.0,9.34,81.0,268.0,11.0,634.0,16.0,3.0,96.8,60.4,2.0,31.6,51.7,5.3,23.0,7.12,46.3,10.96,-10.5,15.8,0.0,7.12,57.26,9.86,-5.5,29.4,0.0,
1914,15.0,61700004063,0.0,11.0,9.4,89.0,255.0,18.0,672.6,13.0,4.0,134.8,39.7,1.0,39.7,41.2,5.5,39.0,5.75,50.41,7.12,-13.5,17.4,0.0,5.75,56.44,10.14,-5.0,29.8,0.0,
1915,13.0,61700004063,0.0,14.0,9.56,109.0,205.0,17.0,643.1,17.0,0.0,117.8,0.0,0.0,18.6,51.2,5.2,36.0,9.04,44.66,10.68,-18.0,17.6,0.0,9.04,50.68,9.86,-5.8,33.0,6.0,
