year,csdi,Station
1901,18,61700004063
1902,13,61700004063
1903,0,61700004063
1904,0,61700004063
1905,0,61700004063
1906,6,61700004063
1907,0,61700004063
1908,13,61700004063
1909,0,61700004063
1910,0,61700004063
1911,0,61700004063
1912,7,61700004063
1913,0,61700004063
1914,0,61700004063
1915,0,61700004063
1916,0,61700004063
1917,9,61700004063
1918,0,61700004063
1919,8,61700004063
1920,0,61700004063
1921,13,61700004063
1922,15,61700004063
1923,0,61700004063
1924,6,61700004063
1925,6,61700004063
1926,0,61700004063
1927,0,61700004063
1928,0,61700004063
1929,17,61700004063
1930,0,61700004063
1931,13,61700004063
1932,6,61700004063
1933,6,61700004063
1934,0,61700004063
1935,0,61700004063
1936,0,61700004063
1937,0,61700004063
1938,0,61700004063
1939,0,61700004063
1940,6,61700004063
1941,0,61700004063
1942,11,61700004063
1943,0,61700004063
1944,0,61700004063
1945,0,61700004063
1946,7,61700004063
1947,0,61700004063
1948,0,61700004063
1949,6,61700004063
1950,0,61700004063
1951,0,61700004063
1952,0,61700004063
1953,0,61700004063
1954,15,61700004063
1955,0,61700004063
1956,22,61700004063
1957,0,61700004063
1958,0,61700004063
1959,14,61700004063
1960,0,61700004063
1961,0,61700004063
1962,29,61700004063
1963,18,61700004063
1964,7,61700004063
1965,0,61700004063
1966,6,61700004063
1967,0,61700004063
1968,0,61700004063
1969,0,61700004063
1970,0,61700004063
1971,8,61700004063
1972,6,61700004063
1973,0,61700004063
1974,0,61700004063
1975,0,61700004063
1976,0,61700004063
1977,0,61700004063
1978,0,61700004063
1979,7,61700004063
1980,0,61700004063
1981,0,61700004063
1982,0,61700004063
1983,0,61700004063
1984,0,61700004063
1985,27,61700004063
1986,0,61700004063
1987,13,61700004063
1988,0,61700004063
1989,0,61700004063
1990,0,61700004063
1991,13,61700004063
1992,0,61700004063
1993,6,61700004063
1994,0,61700004063
1995,0,61700004063
1996,14,61700004063
1997,0,61700004063
1998,6,61700004063
1999,0,61700004063
1879,-99.9,LOCID000043
1880,-99.9,LOCID000043
1881,-99.9,LOCID000043
1882,-99.9,LOCID000043
1883,-99.9,LOCID000043
1884,-99.9,LOCID000043
1885,-99.9,LOCID000043
1886,-99.9,LOCID000043
1887,-99.9,LOCID000043
1888,-99.9,LOCID000043
1889,-99.9,LOCID000043
1890,-99.9,LOCID000043
1891,0,LOCID000043
1892,0,LOCID000043
1893,0,LOCID000043
1894,0,LOCID000043
1895,10,LOCID000043
1896,0,LOCID000043
1897,0,LOCID000043
1898,0,LOCID000043
1899,0,LOCID000043
1900,0,LOCID000043
1901,6,LOCID000043
1902,6,LOCID000043
1903,0,LOCID000043
1904,0,LOCID000043
1905,0,LOCID000043
1906,0,LOCID000043
1907,0,LOCID000043
1908,0,LOCID000043
1909,0,LOCID000043
1910,0,LOCID000043
1911,0,LOCID000043
1912,7,LOCID000043
1913,0,LOCID000043
1914,0,LOCID000043
1915,0,LOCID000043
1916,0,LOCID000043
1917,7,LOCID000043
1918,0,LOCID000043
1919,0,LOCID000043
1920,6,LOCID000043
1921,0,LOCID000043
1922,15,LOCID000043
1923,0,LOCID000043
1924,0,LOCID000043
1925,10,LOCID000043
1926,0,LOCID000043
1927,0,LOCID000043
1928,0,LOCID000043
1929,22,LOCID000043
1930,0,LOCID000043
1931,0,LOCID000043
1932,0,LOCID000043
1933,7,LOCID000043
1934,0,LOCID000043
1935,0,LOCID000043
1936,8,LOCID000043
1937,0,LOCID000043
1938,12,LOCID000043
1939,0,LOCID000043
1940,39,LOCID000043
1941,15,LOCID000043
1942,21,LOCID000043
1943,0,LOCID000043
1944,0,LOCID000043
1945,0,LOCID000043
1946,9,LOCID000043
1947,29,LOCID000043
1948,0,LOCID000043
1949,6,LOCID000043
1950,0,LOCID000043
1951,13,LOCID000043
1952,8,LOCID000043
1953,0,LOCID000043
1954,11,LOCID000043
1955,7,LOCID000043
1956,18,LOCID000043
1957,0,LOCID000043
1958,0,LOCID000043
1959,0,LOCID000043
1960,0,LOCID000043
1961,6,LOCID000043
1962,6,LOCID000043
1963,22,LOCID000043
1964,0,LOCID000043
1965,14,LOCID000043
1966,6,LOCID000043
1967,0,LOCID000043
1968,0,LOCID000043
1969,0,LOCID000043
1970,0,LOCID000043
1971,0,LOCID000043
1972,6,LOCID000043
1973,6,LOCID000043
1974,0,LOCID000043
1975,0,LOCID000043
1976,0,LOCID000043
1977,0,LOCID000043
1978,0,LOCID000043
1979,6,LOCID000043
1980,0,LOCID000043
1981,11,LOCID000043
1982,7,LOCID000043
1983,0,LOCID000043
1984,0,LOCID000043
1985,15,LOCID000043
1986,12,LOCID000043
1987,9,LOCID000043
1988,0,LOCID000043
1989,0,LOCID000043
1990,0,LOCID000043
1991,0,LOCID000043
1992,0,LOCID000043
1993,11,LOCID000043
1994,0,LOCID000043
1995,0,LOCID000043
1996,13,LOCID000043
1997,0,LOCID000043
1998,6,LOCID000043
1999,0,LOCID000043
2000,0,LOCID000043
2001,6,LOCID000043
2002,0,LOCID000043
2003,7,LOCID000043
2004,0,LOCID000043
1879,-99.9,LOCID000042
1880,-99.9,LOCID000042
1881,-99.9,LOCID000042
1882,-99.9,LOCID000042
1883,-99.9,LOCID000042
1884,-99.9,LOCID000042
1885,-99.9,LOCID000042
1886,-99.9,LOCID000042
1887,-99.9,LOCID000042
1888,-99.9,LOCID000042
1889,-99.9,LOCID000042
1890,-99.9,LOCID000042
1891,-99.9,LOCID000042
1892,-99.9,LOCID000042
1893,-99.9,LOCID000042
1894,-99.9,LOCID000042
1895,-99.9,LOCID000042
1896,-99.9,LOCID000042
1897,-99.9,LOCID000042
1898,-99.9,LOCID000042
1899,-99.9,LOCID000042
1900,-99.9,LOCID000042
1901,-99.9,LOCID000042
1902,-99.9,LOCID000042
1903,-99.9,LOCID000042
1904,-99.9,LOCID000042
1905,-99.9,LOCID000042
1906,-99.9,LOCID000042
1907,-99.9,LOCID000042
1908,-99.9,LOCID000042
1909,-99.9,LOCID000042
1910,-99.9,LOCID000042
1911,-99.9,LOCID000042
1912,-99.9,LOCID000042
1913,-99.9,LOCID000042
1914,-99.9,LOCID000042
1915,-99.9,LOCID000042
1916,-99.9,LOCID000042
1917,-99.9,LOCID000042
1918,-99.9,LOCID000042
1919,-99.9,LOCID000042
1920,-99.9,LOCID000042
1921,-99.9,LOCID000042
1922,-99.9,LOCID000042
1923,-99.9,LOCID000042
1924,-99.9,LOCID000042
1925,-99.9,LOCID000042
1926,-99.9,LOCID000042
1927,-99.9,LOCID000042
1928,-99.9,LOCID000042
1929,-99.9,LOCID000042
1930,-99.9,LOCID000042
1931,-99.9,LOCID000042
1932,-99.9,LOCID000042
1933,-99.9,LOCID000042
1934,-99.9,LOCID000042
1935,-99.9,LOCID000042
1936,-99.9,LOCID000042
1937,-99.9,LOCID000042
1938,-99.9,LOCID000042
1939,-99.9,LOCID000042
1940,-99.9,LOCID000042
1941,-99.9,LOCID000042
1942,-99.9,LOCID000042
1943,-99.9,LOCID000042
1944,-99.9,LOCID000042
1945,-99.9,LOCID000042
1946,-99.9,LOCID000042
1947,-99.9,LOCID000042
1948,-99.9,LOCID000042
1949,-99.9,LOCID000042
1950,-99.9,LOCID000042
1951,-99.9,LOCID000042
1952,-99.9,LOCID000042
1953,-99.9,LOCID000042
1954,-99.9,LOCID000042
1955,-99.9,LOCID000042
1956,-99.9,LOCID000042
1957,-99.9,LOCID000042
1958,-99.9,LOCID000042
1959,-99.9,LOCID000042
1960,-99.9,LOCID000042
1961,-99.9,LOCID000042
1962,-99.9,LOCID000042
1963,-99.9,LOCID000042
1964,-99.9,LOCID000042
1965,-99.9,LOCID000042
1966,-99.9,LOCID000042
1967,-99.9,LOCID000042
1968,-99.9,LOCID000042
1969,-99.9,LOCID000042
1970,-99.9,LOCID000042
1971,-99.9,LOCID000042
1972,-99.9,LOCID000042
1973,-99.9,LOCID000042
1974,-99.9,LOCID000042
1975,-99.9,LOCID000042
1976,-99.9,LOCID000042
1977,-99.9,LOCID000042
1978,-99.9,LOCID000042
1979,-99.9,LOCID000042
1980,-99.9,LOCID000042
1981,-99.9,LOCID000042
1982,-99.9,LOCID000042
1983,-99.9,LOCID000042
1984,-99.9,LOCID000042
1985,-99.9,LOCID000042
1986,-99.9,LOCID000042
1987,-99.9,LOCID000042
1988,-99.9,LOCID000042
1989,-99.9,LOCID000042
1990,-99.9,LOCID000042
1991,-99.9,LOCID000042
1992,-99.9,LOCID000042
1993,-99.9,LOCID000042
1994,-99.9,LOCID000042
1995,-99.9,LOCID000042
1996,-99.9,LOCID000042
1997,-99.9,LOCID000042
1998,-99.9,LOCID000042
1999,-99.9,LOCID000042
2000,-99.9,LOCID000042
2001,-99.9,LOCID000042
2002,-99.9,LOCID000042
2003,-99.9,LOCID000042
2004,-99.9,LOCID000042
1870,15,LOCID000040
1871,35,LOCID000040
1872,0,LOCID000040
1873,0,LOCID000040
1874,6,LOCID000040
1875,22,LOCID000040
1876,7,LOCID000040
1877,8,LOCID000040
1878,0,LOCID000040
1879,30,LOCID000040
1880,15,LOCID000040
1881,15,LOCID000040
1882,0,LOCID000040
1883,19,LOCID000040
1884,6,LOCID000040
1885,16,LOCID000040
1886,26,LOCID000040
1887,8,LOCID000040
1888,20,LOCID000040
1889,0,LOCID000040
1890,24,LOCID000040
1891,0,LOCID000040
1892,14,LOCID000040
1893,13,LOCID000040
1894,0,LOCID000040
1895,21,LOCID000040
1896,0,LOCID000040
1897,0,LOCID000040
1898,0,LOCID000040
1899,6,LOCID000040
1900,0,LOCID000040
1901,19,LOCID000040
1902,26,LOCID000040
1903,0,LOCID000040
1904,0,LOCID000040
1905,0,LOCID000040
1906,8,LOCID000040
1907,0,LOCID000040
1908,12,LOCID000040
1909,0,LOCID000040
1910,0,LOCID000040
1911,0,LOCID000040
1912,11,LOCID000040
1913,0,LOCID000040
1914,0,LOCID000040
1915,7,LOCID000040
1916,0,LOCID000040
1917,21,LOCID000040
1918,6,LOCID000040
1919,21,LOCID000040
1920,12,LOCID000040
1921,19,LOCID000040
1922,26,LOCID000040
1923,0,LOCID000040
1924,14,LOCID000040
1925,6,LOCID000040
1926,0,LOCID000040
1927,6,LOCID000040
1928,0,LOCID000040
1929,17,LOCID000040
1930,0,LOCID000040
1931,14,LOCID000040
1932,0,LOCID000040
1933,24,LOCID000040
1934,0,LOCID000040
1935,0,LOCID000040
1936,11,LOCID000040
1937,0,LOCID000040
1938,7,LOCID000040
1939,7,LOCID000040
1940,47,LOCID000040
1941,13,LOCID000040
1942,14,LOCID000040
1943,0,LOCID000040
1944,0,LOCID000040
