year,FD,Station
1901,106,61700004063
1902,99,61700004063
1903,97,61700004063
1904,101,61700004063
1905,103,61700004063
1906,104,61700004063
1907,97,61700004063
1908,127,61700004063
1909,114,61700004063
1910,99,61700004063
1911,98,61700004063
1912,93,61700004063
1913,81,61700004063
1914,89,61700004063
1915,109,61700004063
1916,78,61700004063
1917,121,61700004063
1918,86,61700004063
1919,100,61700004063
1920,106,61700004063
1921,106,61700004063
1922,128,61700004063
1923,105,61700004063
1924,133,61700004063
1925,105,61700004063
1926,85,61700004063
1927,107,61700004063
1928,98,61700004063
1929,112,61700004063
1930,98,61700004063
1931,126,61700004063
1932,117,61700004063
1933,122,61700004063
1934,73,61700004063
1935,97,61700004063
1936,98,61700004063
1937,92,61700004063
1938,89,61700004063
1939,84,61700004063
1940,108,61700004063
1941,115,61700004063
1942,122,61700004063
1943,94,61700004063
1944,92,61700004063
1945,78,61700004063
1946,98,61700004063
1947,102,61700004063
1948,79,61700004063
1949,81,61700004063
1950,95,61700004063
1951,71,61700004063
1952,100,61700004063
1953,102,61700004063
1954,91,61700004063
1955,124,61700004063
1956,107,61700004063
1957,93,61700004063
1958,88,61700004063
1959,124,61700004063
1960,91,61700004063
1961,87,61700004063
1962,113,61700004063
1963,124,61700004063
1964,102,61700004063
1965,106,61700004063
1966,84,61700004063
1967,91,61700004063
1968,111,61700004063
1969,109,61700004063
1970,105,61700004063
1971,107,61700004063
1972,119,61700004063
1973,123,61700004063
1974,65,61700004063
1975,82,61700004063
1976,99,61700004063
1977,76,61700004063
1978,89,61700004063
1979,105,61700004063
1980,102,61700004063
1981,103,61700004063
1982,89,61700004063
1983,99,61700004063
1984,108,61700004063
1985,123,61700004063
1986,95,61700004063
1987,101,61700004063
1988,78,61700004063
1989,84,61700004063
1990,74,61700004063
1991,110,61700004063
1992,81,61700004063
1993,100,61700004063
1994,62,61700004063
1995,95,61700004063
1996,118,61700004063
1997,98,61700004063
1998,97,61700004063
1999,85,61700004063
1879,-99.9,LOCID000043
1880,-99.9,LOCID000043
1881,-99.9,LOCID000043
1882,-99.9,LOCID000043
1883,-99.9,LOCID000043
1884,-99.9,LOCID000043
1885,-99.9,LOCID000043
1886,-99.9,LOCID000043
1887,-99.9,LOCID000043
1888,-99.9,LOCID000043
1889,-99.9,LOCID000043
1890,-99.9,LOCID000043
1891,73,LOCID000043
1892,93,LOCID000043
1893,65,LOCID000043
1894,45,LOCID000043
1895,96,LOCID000043
1896,73,LOCID000043
1897,65,LOCID000043
1898,34,LOCID000043
1899,65,LOCID000043
1900,63,LOCID000043
1901,84,LOCID000043
1902,75,LOCID000043
1903,39,LOCID000043
1904,60,LOCID000043
1905,82,LOCID000043
1906,62,LOCID000043
1907,69,LOCID000043
1908,70,LOCID000043
1909,86,LOCID000043
1910,36,LOCID000043
1911,47,LOCID000043
1912,44,LOCID000043
1913,43,LOCID000043
1914,38,LOCID000043
1915,64,LOCID000043
1916,41,LOCID000043
1917,93,LOCID000043
1918,50,LOCID000043
1919,81,LOCID000043
1920,59,LOCID000043
1921,48,LOCID000043
1922,77,LOCID000043
1923,57,LOCID000043
1924,91,LOCID000043
1925,64,LOCID000043
1926,48,LOCID000043
1927,67,LOCID000043
1928,69,LOCID000043
1929,96,LOCID000043
1930,60,LOCID000043
1931,91,LOCID000043
1932,74,LOCID000043
1933,73,LOCID000043
1934,39,LOCID000043
1935,73,LOCID000043
1936,75,LOCID000043
1937,95,LOCID000043
1938,86,LOCID000043
1939,73,LOCID000043
1940,111,LOCID000043
1941,111,LOCID000043
1942,114,LOCID000043
1943,72,LOCID000043
1944,81,LOCID000043
1945,63,LOCID000043
1946,82,LOCID000043
1947,106,LOCID000043
1948,75,LOCID000043
1949,59,LOCID000043
1950,77,LOCID000043
1951,73,LOCID000043
1952,102,LOCID000043
1953,74,LOCID000043
1954,90,LOCID000043
1955,108,LOCID000043
1956,97,LOCID000043
1957,64,LOCID000043
1958,94,LOCID000043
1959,74,LOCID000043
1960,73,LOCID000043
1961,65,LOCID000043
1962,85,LOCID000043
1963,103,LOCID000043
1964,92,LOCID000043
1965,89,LOCID000043
1966,80,LOCID000043
1967,53,LOCID000043
1968,87,LOCID000043
1969,112,LOCID000043
1970,102,LOCID000043
1971,70,LOCID000043
1972,66,LOCID000043
1973,69,LOCID000043
1974,35,LOCID000043
1975,64,LOCID000043
1976,91,LOCID000043
1977,61,LOCID000043
1978,82,LOCID000043
1979,92,LOCID000043
1980,103,LOCID000043
1981,91,LOCID000043
1982,78,LOCID000043
1983,70,LOCID000043
1984,80,LOCID000043
1985,89,LOCID000043
1986,78,LOCID000043
1987,90,LOCID000043
1988,65,LOCID000043
1989,48,LOCID000043
1990,33,LOCID000043
1991,67,LOCID000043
1992,50,LOCID000043
1993,76,LOCID000043
1994,40,LOCID000043
1995,80,LOCID000043
1996,114,LOCID000043
1997,79,LOCID000043
1998,57,LOCID000043
1999,56,LOCID000043
2000,39,LOCID000043
2001,84,LOCID000043
2002,63,LOCID000043
2003,88,LOCID000043
