year,gsl,Station
1901,253,61700004063
1902,227,61700004063
1903,316,61700004063
1904,234,61700004063
1905,223,61700004063
1906,241,61700004063
1907,235,61700004063
1908,174,61700004063
1909,230,61700004063
1910,264,61700004063
1911,245,61700004063
1912,252,61700004063
1913,268,61700004063
1914,255,61700004063
1915,205,61700004063
1916,260,61700004063
1917,186,61700004063
1918,261,61700004063
1919,198,61700004063
1920,240,61700004063
1921,310,61700004063
1922,239,61700004063
1923,233,61700004063
1924,228,61700004063
1925,224,61700004063
1926,206,61700004063
1927,258,61700004063
1928,250,61700004063
1929,240,61700004063
1930,235,61700004063
1931,201,61700004063
1932,228,61700004063
1933,271,61700004063
1934,246,61700004063
1935,276,61700004063
1936,201,61700004063
1937,238,61700004063
1938,277,61700004063
1939,284,61700004063
1940,220,61700004063
1941,193,61700004063
1942,238,61700004063
1943,240,61700004063
1944,218,61700004063
1945,243,61700004063
1946,231,61700004063
1947,243,61700004063
1948,299,61700004063
1949,218,61700004063
1950,224,61700004063
1951,269,61700004063
1952,236,61700004063
1953,235,61700004063
1954,246,61700004063
1955,220,61700004063
1956,220,61700004063
1957,253,61700004063
1958,286,61700004063
1959,248,61700004063
1960,285,61700004063
1961,257,61700004063
1962,196,61700004063
1963,239,61700004063
1964,252,61700004063
1965,230,61700004063
1966,266,61700004063
1967,253,61700004063
1968,234,61700004063
1969,232,61700004063
1970,221,61700004063
1971,224,61700004063
1972,245,61700004063
1973,238,61700004063
1974,287,61700004063
1975,253,61700004063
1976,238,61700004063
1977,271,61700004063
1978,224,61700004063
1979,243,61700004063
1980,221,61700004063
1981,245,61700004063
1982,247,61700004063
1983,238,61700004063
1984,233,61700004063
1985,211,61700004063
1986,225,61700004063
1987,225,61700004063
1988,307,61700004063
1989,251,61700004063
1990,259,61700004063
1991,234,61700004063
1992,250,61700004063
1993,249,61700004063
1994,293,61700004063
1995,280,61700004063
1996,222,61700004063
1997,247,61700004063
1998,273,61700004063
1999,232,61700004063
1879,-99.9,LOCID000043
1880,-99.9,LOCID000043
1881,-99.9,LOCID000043
1882,-99.9,LOCID000043
1883,-99.9,LOCID000043
1884,-99.9,LOCID000043
1885,-99.9,LOCID000043
1886,-99.9,LOCID000043
1887,-99.9,LOCID000043
1888,-99.9,LOCID000043
1889,-99.9,LOCID000043
1890,-99.9,LOCID000043
1891,200,LOCID000043
1892,204,LOCID000043
1893,222,LOCID000043
1894,258,LOCID000043
1895,214,LOCID000043
1896,232,LOCID000043
1897,218,LOCID000043
1898,191,LOCID000043
1899,300,LOCID000043
1900,232,LOCID000043
1901,230,LOCID000043
1902,244,LOCID000043
1903,270,LOCID000043
1904,241,LOCID000043
1905,221,LOCID000043
1906,246,LOCID000043
1907,218,LOCID000043
1908,194,LOCID000043
1909,222,LOCID000043
1910,271,LOCID000043
1911,220,LOCID000043
1912,276,LOCID000043
1913,0,LOCID000043
1914,229,LOCID000043
1915,206,LOCID000043
1916,319,LOCID000043
1917,226,LOCID000043
1918,298,LOCID000043
1919,248,LOCID000043
1920,232,LOCID000043
1921,310,LOCID000043
1922,238,LOCID000043
1923,235,LOCID000043
1924,209,LOCID000043
1925,271,LOCID000043
1926,242,LOCID000043
1927,259,LOCID000043
1928,261,LOCID000043
1929,237,LOCID000043
1930,252,LOCID000043
1931,221,LOCID000043
1932,230,LOCID000043
1933,247,LOCID000043
1934,278,LOCID000043
1935,249,LOCID000043
1936,244,LOCID000043
1937,312,LOCID000043
1938,281,LOCID000043
1939,309,LOCID000043
1940,190,LOCID000043
1941,201,LOCID000043
1942,236,LOCID000043
1943,239,LOCID000043
1944,286,LOCID000043
1945,247,LOCID000043
1946,218,LOCID000043
1947,218,LOCID000043
1948,245,LOCID000043
1949,217,LOCID000043
1950,253,LOCID000043
1951,250,LOCID000043
1952,217,LOCID000043
1953,295,LOCID000043
1954,231,LOCID000043
1955,225,LOCID000043
1956,234,LOCID000043
1957,286,LOCID000043
1958,291,LOCID000043
1959,253,LOCID000043
1960,282,LOCID000043
1961,262,LOCID000043
1962,209,LOCID000043
1963,269,LOCID000043
1964,209,LOCID000043
1965,216,LOCID000043
1966,250,LOCID000043
1967,309,LOCID000043
1968,255,LOCID000043
1969,234,LOCID000043
1970,240,LOCID000043
1971,298,LOCID000043
1972,245,LOCID000043
1973,239,LOCID000043
1974,331,LOCID000043
1975,315,LOCID000043
1976,315,LOCID000043
1977,275,LOCID000043
1978,275,LOCID000043
1979,216,LOCID000043
1980,218,LOCID000043
1981,232,LOCID000043
1982,241,LOCID000043
1983,212,LOCID000043
1984,217,LOCID000043
1985,226,LOCID000043
1986,268,LOCID000043
1987,236,LOCID000043
1988,332,LOCID000043
1989,257,LOCID000043
1990,304,LOCID000043
1991,237,LOCID000043
1992,281,LOCID000043
1993,290,LOCID000043
1994,286,LOCID000043
1995,278,LOCID000043
1996,214,LOCID000043
1997,246,LOCID000043
1998,318,LOCID000043
1999,258,LOCID000043
2000,270,LOCID000043
2001,273,LOCID000043
2002,303,LOCID000043
2003,229,LOCID000043
2004,312,LOCID000043
1879,-99.9,LOCID000042
1880,-99.9,LOCID000042
1881,-99.9,LOCID000042
1882,-99.9,LOCID000042
1883,-99.9,LOCID000042
1884,-99.9,LOCID000042
1885,-99.9,LOCID000042
1886,-99.9,LOCID000042
1887,-99.9,LOCID000042
1888,-99.9,LOCID000042
1889,-99.9,LOCID000042
1890,-99.9,LOCID000042
1891,-99.9,LOCID000042
1892,-99.9,LOCID000042
1893,-99.9,LOCID000042
1894,-99.9,LOCID000042
1895,-99.9,LOCID000042
1896,-99.9,LOCID000042
1897,-99.9,LOCID000042
1898,-99.9,LOCID000042
1899,-99.9,LOCID000042
1900,-99.9,LOCID000042
1901,-99.9,LOCID000042
1902,-99.9,LOCID000042
1903,-99.9,LOCID000042
1904,-99.9,LOCID000042
1905,-99.9,LOCID000042
1906,-99.9,LOCID000042
1907,-99.9,LOCID000042
1908,-99.9,LOCID000042
1909,-99.9,LOCID000042
1910,-99.9,LOCID000042
1911,-99.9,LOCID000042
1912,-99.9,LOCID000042
1913,-99.9,LOCID000042
1914,-99.9,LOCID000042
1915,-99.9,LOCID000042
1916,-99.9,LOCID000042
1917,-99.9,LOCID000042
1918,-99.9,LOCID000042
1919,-99.9,LOCID000042
1920,-99.9,LOCID000042
1921,-99.9,LOCID000042
1922,-99.9,LOCID000042
1923,-99.9,LOCID000042
1924,-99.9,LOCID000042
1925,-99.9,LOCID000042
1926,-99.9,LOCID000042
1927,-99.9,LOCID000042
1928,-99.9,LOCID000042
