year,ID,Station
1901,29,61700004063
1902,15,61700004063
1903,18,61700004063
1904,28,61700004063
1905,15,61700004063
1906,17,61700004063
1907,15,61700004063
1908,25,61700004063
1909,24,61700004063
1910,3,61700004063
1911,14,61700004063
1912,19,61700004063
1913,11,61700004063
1914,18,61700004063
1915,17,61700004063
1916,4,61700004063
1917,39,61700004063
1918,16,61700004063
1919,28,61700004063
1920,9,61700004063
1921,15,61700004063
1922,29,61700004063
1923,16,61700004063
1924,35,61700004063
1925,18,61700004063
1926,15,61700004063
1927,18,61700004063
1928,15,61700004063
1929,53,61700004063
1930,8,61700004063
1931,29,61700004063
1932,16,61700004063
1933,40,61700004063
1934,8,61700004063
1935,27,61700004063
1936,12,61700004063
1937,18,61700004063
1938,20,61700004063
1939,19,61700004063
1940,59,61700004063
1941,36,61700004063
1942,46,61700004063
1943,18,61700004063
1944,18,61700004063
1945,27,61700004063
1946,26,61700004063
1947,43,61700004063
1948,19,61700004063
1949,15,61700004063
1950,29,61700004063
1951,10,61700004063
1952,22,61700004063
1953,22,61700004063
1954,26,61700004063
1955,22,61700004063
1956,46,61700004063
1957,18,61700004063
1958,16,61700004063
1959,11,61700004063
1960,18,61700004063
1961,18,61700004063
1962,29,61700004063
1963,60,61700004063
1964,30,61700004063
1965,20,61700004063
1966,17,61700004063
1967,17,61700004063
1968,28,61700004063
1969,42,61700004063
1970,32,61700004063
1971,24,61700004063
1972,24,61700004063
1973,19,61700004063
1974,2,61700004063
1975,8,61700004063
1976,19,61700004063
1977,9,61700004063
1978,24,61700004063
1979,20,61700004063
1980,29,61700004063
1981,31,61700004063
1982,21,61700004063
1983,24,61700004063
1984,9,61700004063
1985,42,61700004063
1986,31,61700004063
1987,36,61700004063
1988,5,61700004063
1989,15,61700004063
1990,11,61700004063
1991,23,61700004063
1992,13,61700004063
1993,25,61700004063
1994,4,61700004063
1995,16,61700004063
1996,34,61700004063
1997,18,61700004063
1998,15,61700004063
1999,13,61700004063
1879,-99.9,LOCID000043
1880,-99.9,LOCID000043
1881,-99.9,LOCID000043
1882,-99.9,LOCID000043
1883,-99.9,LOCID000043
1884,-99.9,LOCID000043
1885,-99.9,LOCID000043
1886,-99.9,LOCID000043
1887,-99.9,LOCID000043
1888,-99.9,LOCID000043
1889,-99.9,LOCID000043
1890,-99.9,LOCID000043
1891,26,LOCID000043
1892,33,LOCID000043
1893,30,LOCID000043
1894,12,LOCID000043
1895,41,LOCID000043
1896,16,LOCID000043
1897,32,LOCID000043
1898,0,LOCID000043
1899,20,LOCID000043
1900,13,LOCID000043
1901,33,LOCID000043
1902,24,LOCID000043
1903,13,LOCID000043
1904,10,LOCID000043
1905,10,LOCID000043
1906,12,LOCID000043
1907,19,LOCID000043
1908,16,LOCID000043
1909,19,LOCID000043
1910,3,LOCID000043
1911,2,LOCID000043
1912,18,LOCID000043
1913,8,LOCID000043
1914,9,LOCID000043
1915,11,LOCID000043
1916,5,LOCID000043
1917,32,LOCID000043
1918,4,LOCID000043
1919,22,LOCID000043
1920,12,LOCID000043
1921,10,LOCID000043
1922,28,LOCID000043
1923,20,LOCID000043
1924,33,LOCID000043
1925,14,LOCID000043
1926,15,LOCID000043
1927,25,LOCID000043
1928,11,LOCID000043
1929,50,LOCID000043
1930,5,LOCID000043
1931,22,LOCID000043
1932,10,LOCID000043
1933,35,LOCID000043
1934,4,LOCID000043
1935,11,LOCID000043
1936,9,LOCID000043
1937,30,LOCID000043
1938,14,LOCID000043
1939,16,LOCID000043
1940,57,LOCID000043
1941,35,LOCID000043
1942,54,LOCID000043
1943,14,LOCID000043
1944,6,LOCID000043
1945,16,LOCID000043
1946,30,LOCID000043
1947,58,LOCID000043
1948,10,LOCID000043
1949,7,LOCID000043
1950,17,LOCID000043
1951,4,LOCID000043
1952,12,LOCID000043
1953,13,LOCID000043
1954,29,LOCID000043
1955,26,LOCID000043
1956,33,LOCID000043
1957,6,LOCID000043
1958,15,LOCID000043
1959,23,LOCID000043
1960,16,LOCID000043
1961,17,LOCID000043
1962,23,LOCID000043
1963,59,LOCID000043
1964,23,LOCID000043
1965,13,LOCID000043
1966,30,LOCID000043
1967,7,LOCID000043
1968,21,LOCID000043
1969,47,LOCID000043
1970,34,LOCID000043
1971,15,LOCID000043
1972,17,LOCID000043
1973,5,LOCID000043
1974,0,LOCID000043
1975,1,LOCID000043
1976,22,LOCID000043
1977,7,LOCID000043
1978,26,LOCID000043
1979,35,LOCID000043
1980,27,LOCID000043
1981,26,LOCID000043
1982,19,LOCID000043
1983,12,LOCID000043
1984,11,LOCID000043
1985,41,LOCID000043
1986,34,LOCID000043
1987,30,LOCID000043
1988,6,LOCID000043
1989,7,LOCID000043
1990,3,LOCID000043
1991,14,LOCID000043
1992,8,LOCID000043
1993,15,LOCID000043
1994,9,LOCID000043
1995,19,LOCID000043
1996,42,LOCID000043
1997,16,LOCID000043
1998,11,LOCID000043
1999,4,LOCID000043
2000,6,LOCID000043
2001,16,LOCID000043
2002,15,LOCID000043
2003,14,LOCID000043
2004,9,LOCID000043
1879,-99.9,LOCID000042
1880,-99.9,LOCID000042
1881,-99.9,LOCID000042
1882,-99.9,LOCID000042
1883,-99.9,LOCID000042
1884,-99.9,LOCID000042
1885,-99.9,LOCID000042
1886,-99.9,LOCID000042
1887,-99.9,LOCID000042
1888,-99.9,LOCID000042
1889,-99.9,LOCID000042
1890,-99.9,LOCID000042
1891,-99.9,LOCID000042
1892,-99.9,LOCID000042
1893,-99.9,LOCID000042
1894,-99.9,LOCID000042
1895,-99.9,LOCID000042
1896,-99.9,LOCID000042
1897,-99.9,LOCID000042
1898,-99.9,LOCID000042
1899,-99.9,LOCID000042
1900,-99.9,LOCID000042
1901,-99.9,LOCID000042
1902,-99.9,LOCID000042
1903,-99.9,LOCID000042
1904,-99.9,LOCID000042
1905,-99.9,LOCID000042
1906,-99.9,LOCID000042
1907,-99.9,LOCID000042
1908,-99.9,LOCID000042
1909,-99.9,LOCID000042
1910,-99.9,LOCID000042
1911,-99.9,LOCID000042
1912,-99.9,LOCID000042
1913,-99.9,LOCID000042
1914,-99.9,LOCID000042
1915,-99.9,LOCID000042
1916,-99.9,LOCID000042
1917,-99.9,LOCID000042
1918,-99.9,LOCID000042
1919,-99.9,LOCID000042
1920,-99.9,LOCID000042
1921,-99.9,LOCID000042
1922,-99.9,LOCID000042
1923,-99.9,LOCID000042
1924,-99.9,LOCID000042
1925,-99.9,LOCID000042
1926,-99.9,LOCID000042
1927,-99.9,LOCID000042
1928,-99.9,LOCID000042
1929,-99.9,LOCID000042
1930,-99.9,LOCID000042
1931,-99.9,LOCID000042
1932,-99.9,LOCID000042
1933,-99.9,LOCID000042
1934,-99.9,LOCID000042
1935,-99.9,LOCID000042
1936,-99.9,LOCID000042
1937,-99.9,LOCID000042
1938,-99.9,LOCID000042
1939,-99.9,LOCID000042
1940,-99.9,LOCID000042
1941,-99.9,LOCID000042
1942,-99.9,LOCID000042
1943,-99.9,LOCID000042
1944,-99.9,LOCID000042
1945,-99.9,LOCID000042
1946,-99.9,LOCID000042
1947,-99.9,LOCID000042
1948,-99.9,LOCID000042
1949,-99.9,LOCID000042
1950,-99.9,LOCID000042
1951,-99.9,LOCID000042
1952,-99.9,LOCID000042
1953,-99.9,LOCID000042
1954,-99.9,LOCID000042
1955,-99.9,LOCID000042
1956,-99.9,LOCID000042
1957,-99.9,LOCID000042
1958,-99.9,LOCID000042
1959,-99.9,LOCID000042
1960,-99.9,LOCID000042
1961,-99.9,LOCID000042
1962,-99.9,LOCID000042
1963,-99.9,LOCID000042
1964,-99.9,LOCID000042
1965,-99.9,LOCID000042
1966,-99.9,LOCID000042
1967,-99.9,LOCID000042
1968,-99.9,LOCID000042
1969,-99.9,LOCID000042
1970,-99.9,LOCID000042
1971,-99.9,LOCID000042
1972,-99.9,LOCID000042
1973,-99.9,LOCID000042
1974,-99.9,LOCID000042
1975,-99.9,LOCID000042
1976,-99.9,LOCID000042
1977,-99.9,LOCID000042
1978,-99.9,LOCID000042
1979,-99.9,LOCID000042
1980,-99.9,LOCID000042
1981,-99.9,LOCID000042
1982,-99.9,LOCID000042
1983,-99.9,LOCID000042
1984,-99.9,LOCID000042
1985,-99.9,LOCID000042
1986,-99.9,LOCID000042
1987,-99.9,LOCID000042
1988,-99.9,LOCID000042
1989,-99.9,LOCID000042
1990,-99.9,LOCID000042
1991,-99.9,LOCID000042
1992,-99.9,LOCID000042
1993,-99.9,LOCID000042
1994,-99.9,LOCID000042
1995,-99.9,LOCID000042
1996,-99.9,LOCID000042
1997,-99.9,LOCID000042
1998,-99.9,LOCID000042
1999,-99.9,LOCID000042
2000,-99.9,LOCID000042
2001,-99.9,LOCID000042
2002,-99.9,LOCID000042
2003,-99.9,LOCID000042
2004,-99.9,LOCID000042
1870,43,LOCID000040
