year,prcptot,Station, 
1901,748.4,61700004063,
1902,571.2,61700004063,
1903,532.1,61700004063,
1904,515.5,61700004063,
1905,624.5,61700004063,
1906,667.2,61700004063,
1907,480.4,61700004063,
1908,600.7,61700004063,
1909,656.7,61700004063,
1910,724.2,61700004063,
1911,365.6,61700004063,
1912,572.1,61700004063,
1913,634,61700004063,
1914,672.6,61700004063,
1915,643.1,61700004063,
1916,-99.9,61700004063,
1917,575.1,61700004063,
1918,540.1,61700004063,
1919,573.7,61700004063,
1920,542.3,61700004063,
1921,418.7,61700004063,
1922,773.2,61700004063,
1923,640.4,61700004063,
1924,632.6,61700004063,
1925,594.9,61700004063,
1926,638.1,61700004063,
1927,718.2,61700004063,
1928,588.6,61700004063,
1929,409.7,61700004063,
1930,662.9,61700004063,
1931,596.3,61700004063,
1932,529.2,61700004063,
1933,585.4,61700004063,
1934,481.1,61700004063,
1935,701.8,61700004063,
1936,799.2,61700004063,
1937,650.7,61700004063,
1938,578.7,61700004063,
1939,720.8,61700004063,
1940,734.6,61700004063,
1941,825.4,61700004063,
1942,543.2,61700004063,
1943,482.3,61700004063,
1944,680.4,61700004063,
1945,668.7,61700004063,
1946,676.5,61700004063,
1947,526.3,61700004063,
1948,625.1,61700004063,
1949,466.3,61700004063,
1950,740.3,61700004063,
1951,581.3,61700004063,
1952,788.6,61700004063,
1953,407.8,61700004063,
1954,735.1,61700004063,
1955,651.5,61700004063,
1956,787,61700004063,
1957,664.4,61700004063,
1958,709.1,61700004063,
1959,461.9,61700004063,
1960,613.4,61700004063,
1961,602.6,61700004063,
1962,464.1,61700004063,
1963,541.4,61700004063,
1964,384.7,61700004063,
1965,883.5,61700004063,
1966,822.6,61700004063,
1967,567.8,61700004063,
1968,687.9,61700004063,
1969,549.1,61700004063,
1970,683.2,61700004063,
1971,591.6,61700004063,
1972,620.5,61700004063,
1973,504.4,61700004063,
1974,709.2,61700004063,
1975,492.1,61700004063,
1976,424.8,61700004063,
1977,664.2,61700004063,
1978,588.6,61700004063,
1979,610.8,61700004063,
1980,627.7,61700004063,
1981,768.9,61700004063,
1982,511.7,61700004063,
1983,564.5,61700004063,
1984,650,61700004063,
1985,495.2,61700004063,
1986,687.7,61700004063,
1987,686.8,61700004063,
1988,697.2,61700004063,
1989,554.7,61700004063,
1990,641.5,61700004063,
1991,416.6,61700004063,
1992,649.8,61700004063,
1993,595.7,61700004063,
1994,590.8,61700004063,
1995,760.5,61700004063,
1996,652.1,61700004063,
1997,579.5,61700004063,
1998,711.8,61700004063,
1999,652.1,61700004063,
1879,-99.9,LOCID000043,
1880,-99.9,LOCID000043,
1881,-99.9,LOCID000043,
1882,-99.9,LOCID000043,
1883,-99.9,LOCID000043,
1884,-99.9,LOCID000043,
1885,-99.9,LOCID000043,
1886,-99.9,LOCID000043,
1887,-99.9,LOCID000043,
1888,-99.9,LOCID000043,
1889,-99.9,LOCID000043,
1890,-99.9,LOCID000043,
1891,731.8,LOCID000043,
1892,520,LOCID000043,
1893,645.1,LOCID000043,
1894,775.6,LOCID000043,
1895,754.1,LOCID000043,
1896,702.2,LOCID000043,
1897,682.4,LOCID000043,
1898,785.3,LOCID000043,
1899,568.1,LOCID000043,
1900,651.4,LOCID000043,
1901,700.6,LOCID000043,
1902,652.6,LOCID000043,
1903,828.3,LOCID000043,
1904,581.8,LOCID000043,
1905,632.7,LOCID000043,
1906,693,LOCID000043,
1907,511.2,LOCID000043,
1908,556.7,LOCID000043,
1909,675.9,LOCID000043,
1910,767.7,LOCID000043,
1911,580.4,LOCID000043,
1912,792.8,LOCID000043,
1913,556,LOCID000043,
1914,900.4,LOCID000043,
1915,838.1,LOCID000043,
1916,1042.3,LOCID000043,
1917,635.5,LOCID000043,
1918,976,LOCID000043,
1919,622.9,LOCID000043,
1920,669.5,LOCID000043,
1921,693.2,LOCID000043,
1922,640.2,LOCID000043,
1923,764.7,LOCID000043,
1924,747.8,LOCID000043,
1925,861.1,LOCID000043,
1926,889.9,LOCID000043,
1927,933.9,LOCID000043,
1928,847.4,LOCID000043,
1929,529.4,LOCID000043,
1930,716.6,LOCID000043,
1931,858,LOCID000043,
1932,621.4,LOCID000043,
1933,554.5,LOCID000043,
1934,479.5,LOCID000043,
1935,705.2,LOCID000043,
1936,682.8,LOCID000043,
1937,670.7,LOCID000043,
1938,539.4,LOCID000043,
1939,791,LOCID000043,
