year,R20mm,Station
1901,6,61700004063
1902,2,61700004063
1903,2,61700004063
1904,0,61700004063
1905,2,61700004063
1906,5,61700004063
1907,1,61700004063
1908,2,61700004063
1909,1,61700004063
1910,4,61700004063
1911,0,61700004063
1912,0,61700004063
1913,3,61700004063
1914,4,61700004063
1915,0,61700004063
1916,-99.9,61700004063
1917,3,61700004063
1918,0,61700004063
1919,3,61700004063
1920,3,61700004063
1921,0,61700004063
1922,5,61700004063
1923,2,61700004063
1924,2,61700004063
1925,2,61700004063
1926,3,61700004063
1927,5,61700004063
1928,1,61700004063
1929,0,61700004063
1930,3,61700004063
1931,2,61700004063
1932,1,61700004063
1933,3,61700004063
1934,4,61700004063
1935,6,61700004063
1936,4,61700004063
1937,3,61700004063
1938,1,61700004063
1939,2,61700004063
1940,6,61700004063
1941,5,61700004063
1942,3,61700004063
1943,2,61700004063
1944,4,61700004063
1945,6,61700004063
1946,3,61700004063
1947,2,61700004063
1948,3,61700004063
1949,2,61700004063
1950,3,61700004063
1951,3,61700004063
1952,5,61700004063
1953,2,61700004063
1954,3,61700004063
1955,3,61700004063
1956,6,61700004063
1957,2,61700004063
1958,2,61700004063
1959,4,61700004063
1960,2,61700004063
1961,2,61700004063
1962,0,61700004063
1963,4,61700004063
1964,1,61700004063
1965,5,61700004063
1966,3,61700004063
1967,3,61700004063
1968,5,61700004063
1969,4,61700004063
1970,3,61700004063
1971,5,61700004063
1972,3,61700004063
1973,2,61700004063
1974,1,61700004063
1975,1,61700004063
1976,2,61700004063
1977,1,61700004063
1978,5,61700004063
1979,2,61700004063
1980,4,61700004063
1981,4,61700004063
1982,1,61700004063
1983,3,61700004063
1984,5,61700004063
1985,1,61700004063
1986,0,61700004063
1987,5,61700004063
1988,1,61700004063
1989,4,61700004063
1990,2,61700004063
1991,2,61700004063
1992,4,61700004063
1993,2,61700004063
1994,2,61700004063
1995,6,61700004063
1996,5,61700004063
1997,2,61700004063
1998,6,61700004063
1999,2,61700004063
1879,-99.9,LOCID000043
1880,-99.9,LOCID000043
1881,-99.9,LOCID000043
1882,-99.9,LOCID000043
1883,-99.9,LOCID000043
1884,-99.9,LOCID000043
1885,-99.9,LOCID000043
1886,-99.9,LOCID000043
1887,-99.9,LOCID000043
1888,-99.9,LOCID000043
1889,-99.9,LOCID000043
1890,-99.9,LOCID000043
1891,3,LOCID000043
1892,1,LOCID000043
1893,1,LOCID000043
1894,5,LOCID000043
1895,2,LOCID000043
1896,4,LOCID000043
1897,3,LOCID000043
1898,2,LOCID000043
1899,1,LOCID000043
1900,4,LOCID000043
1901,4,LOCID000043
1902,1,LOCID000043
1903,4,LOCID000043
1904,1,LOCID000043
1905,5,LOCID000043
1906,5,LOCID000043
1907,2,LOCID000043
1908,3,LOCID000043
1909,3,LOCID000043
1910,4,LOCID000043
1911,3,LOCID000043
1912,4,LOCID000043
1913,2,LOCID000043
1914,7,LOCID000043
1915,4,LOCID000043
1916,5,LOCID000043
1917,2,LOCID000043
1918,6,LOCID000043
1919,0,LOCID000043
1920,2,LOCID000043
1921,6,LOCID000043
1922,4,LOCID000043
1923,1,LOCID000043
1924,3,LOCID000043
1925,5,LOCID000043
1926,4,LOCID000043
1927,5,LOCID000043
1928,5,LOCID000043
1929,2,LOCID000043
1930,6,LOCID000043
1931,9,LOCID000043
1932,1,LOCID000043
1933,2,LOCID000043
1934,1,LOCID000043
1935,2,LOCID000043
1936,3,LOCID000043
1937,4,LOCID000043
1938,1,LOCID000043
1939,5,LOCID000043
1940,1,LOCID000043
1941,2,LOCID000043
1942,3,LOCID000043
1943,2,LOCID000043
1944,0,LOCID000043
1945,4,LOCID000043
1946,5,LOCID000043
1947,4,LOCID000043
1948,5,LOCID000043
1949,5,LOCID000043
1950,5,LOCID000043
1951,5,LOCID000043
1952,0,LOCID000043
1953,2,LOCID000043
1954,7,LOCID000043
1955,4,LOCID000043
1956,1,LOCID000043
1957,2,LOCID000043
1958,3,LOCID000043
1959,0,LOCID000043
1960,7,LOCID000043
1961,4,LOCID000043
1962,2,LOCID000043
1963,2,LOCID000043
1964,0,LOCID000043
1965,6,LOCID000043
1966,5,LOCID000043
1967,4,LOCID000043
1968,5,LOCID000043
1969,5,LOCID000043
1970,4,LOCID000043
1971,2,LOCID000043
1972,1,LOCID000043
1973,1,LOCID000043
1974,4,LOCID000043
1975,2,LOCID000043
1976,0,LOCID000043
1977,2,LOCID000043
1978,4,LOCID000043
1979,1,LOCID000043
1980,5,LOCID000043
1981,4,LOCID000043
1982,2,LOCID000043
1983,3,LOCID000043
1984,5,LOCID000043
1985,2,LOCID000043
1986,5,LOCID000043
1987,3,LOCID000043
1988,2,LOCID000043
1989,4,LOCID000043
1990,6,LOCID000043
1991,3,LOCID000043
1992,5,LOCID000043
1993,5,LOCID000043
1994,4,LOCID000043
1995,2,LOCID000043
1996,2,LOCID000043
1997,2,LOCID000043
1998,7,LOCID000043
1999,1,LOCID000043
2000,1,LOCID000043
2001,5,LOCID000043
2002,6,LOCID000043
2003,3,LOCID000043
2004,5,LOCID000043
1879,-99.9,LOCID000042
1880,-99.9,LOCID000042
1881,-99.9,LOCID000042
1882,-99.9,LOCID000042
1883,-99.9,LOCID000042
1884,-99.9,LOCID000042
1885,-99.9,LOCID000042
1886,-99.9,LOCID000042
1887,-99.9,LOCID000042
1888,-99.9,LOCID000042
1889,-99.9,LOCID000042
1890,-99.9,LOCID000042
1891,3,LOCID000042
1892,1,LOCID000042
1893,1,LOCID000042
1894,5,LOCID000042
1895,2,LOCID000042
1896,4,LOCID000042
1897,3,LOCID000042
1898,2,LOCID000042
1899,1,LOCID000042
1900,4,LOCID000042
1901,4,LOCID000042
1902,1,LOCID000042
1903,4,LOCID000042
1904,1,LOCID000042
1905,5,LOCID000042
1906,5,LOCID000042
1907,2,LOCID000042
1908,3,LOCID000042
1909,3,LOCID000042
1910,4,LOCID000042
1911,3,LOCID000042
1912,4,LOCID000042
1913,1,LOCID000042
1914,6,LOCID000042
1915,3,LOCID000042
1916,2,LOCID000042
1917,2,LOCID000042
1918,3,LOCID000042
1919,0,LOCID000042
1920,1,LOCID000042
1921,1,LOCID000042
1922,3,LOCID000042
1923,2,LOCID000042
1924,5,LOCID000042
1925,3,LOCID000042
1926,4,LOCID000042
1927,6,LOCID000042
1928,3,LOCID000042
