year,r95p,Station
1901,259.9,61700004063
1902,77.8,61700004063
1903,44.8,61700004063
1904,119.8,61700004063
1905,86.2,61700004063
1906,195.7,61700004063
1907,107.4,61700004063
1908,178.4,61700004063
1909,136.5,61700004063
1910,173.4,61700004063
1911,15.6,61700004063
1912,49.1,61700004063
1913,96.8,61700004063
1914,134.8,61700004063
1915,117.8,61700004063
1916,-99.9,61700004063
1917,157.9,61700004063
1918,51.5,61700004063
1919,85.3,61700004063
1920,147.9,61700004063
1921,53.1,61700004063
1922,143.8,61700004063
1923,86.9,61700004063
1924,161,61700004063
1925,93.5,61700004063
1926,132.6,61700004063
1927,266.2,61700004063
1928,27,61700004063
1929,17.9,61700004063
1930,135,61700004063
1931,48.2,61700004063
1932,102.7,61700004063
1933,193.2,61700004063
1934,156.8,61700004063
1935,243.2,61700004063
1936,251.1,61700004063
1937,89,61700004063
1938,93.1,61700004063
1939,122.1,61700004063
1940,208.3,61700004063
1941,269.4,61700004063
1942,89.4,61700004063
1943,99.1,61700004063
1944,161.9,61700004063
1945,233.4,61700004063
1946,177.6,61700004063
1947,114.5,61700004063
1948,182,61700004063
1949,92,61700004063
1950,135.5,61700004063
1951,90.4,61700004063
1952,219.7,61700004063
1953,62.1,61700004063
1954,180.4,61700004063
1955,124.5,61700004063
1956,271.4,61700004063
1957,133.8,61700004063
1958,159.7,61700004063
1959,167.3,61700004063
1960,117.7,61700004063
1961,59.2,61700004063
1962,33.5,61700004063
1963,170.6,61700004063
1964,25.1,61700004063
1965,176.5,61700004063
1966,146.3,61700004063
1967,88.4,61700004063
1968,185.4,61700004063
1969,123.2,61700004063
1970,122.6,61700004063
1971,220.9,61700004063
1972,212.2,61700004063
1973,93.9,61700004063
1974,89.4,61700004063
1975,112.1,61700004063
1976,65.2,61700004063
1977,89.2,61700004063
1978,191.7,61700004063
1979,101.2,61700004063
1980,151.7,61700004063
1981,177.6,61700004063
1982,51.2,61700004063
1983,103.7,61700004063
1984,235.9,61700004063
1985,100.2,61700004063
1986,108.3,61700004063
1987,204,61700004063
1988,120.8,61700004063
1989,136.6,61700004063
1990,197.8,61700004063
1991,102.7,61700004063
1992,196.3,61700004063
1993,92.4,61700004063
1994,106.6,61700004063
1995,212.8,61700004063
1996,217.7,61700004063
1997,121.4,61700004063
1998,264.8,61700004063
1999,112.5,61700004063
1879,-99.9,LOCID000043
1880,-99.9,LOCID000043
1881,-99.9,LOCID000043
1882,-99.9,LOCID000043
1883,-99.9,LOCID000043
1884,-99.9,LOCID000043
1885,-99.9,LOCID000043
1886,-99.9,LOCID000043
1887,-99.9,LOCID000043
1888,-99.9,LOCID000043
1889,-99.9,LOCID000043
1890,-99.9,LOCID000043
1891,85.6,LOCID000043
1892,57.8,LOCID000043
1893,109.8,LOCID000043
1894,193.4,LOCID000043
1895,110.8,LOCID000043
1896,171.2,LOCID000043
1897,157.5,LOCID000043
1898,133.5,LOCID000043
1899,59.5,LOCID000043
1900,140.7,LOCID000043
1901,146.1,LOCID000043
1902,74.6,LOCID000043
1903,190.9,LOCID000043
1904,42.4,LOCID000043
1905,144.4,LOCID000043
1906,196.5,LOCID000043
1907,53.6,LOCID000043
1908,70.8,LOCID000043
1909,136.5,LOCID000043
1910,230.9,LOCID000043
1911,103,LOCID000043
1912,135.1,LOCID000043
1913,65.7,LOCID000043
1914,310,LOCID000043
1915,192.3,LOCID000043
1916,261.7,LOCID000043
1917,76.2,LOCID000043
1918,324.5,LOCID000043
1919,35.8,LOCID000043
1920,118.1,LOCID000043
1921,232.7,LOCID000043
1922,142.6,LOCID000043
1923,90.7,LOCID000043
1924,249.2,LOCID000043
1925,226.8,LOCID000043
1926,151.5,LOCID000043
1927,241.6,LOCID000043
1928,192.9,LOCID000043
1929,152,LOCID000043
1930,233.6,LOCID000043
1931,303.5,LOCID000043
1932,91.4,LOCID000043
1933,143.1,LOCID000043
1934,81.2,LOCID000043
1935,132.8,LOCID000043
1936,138.9,LOCID000043
1937,121.9,LOCID000043
1938,26.1,LOCID000043
1939,188.7,LOCID000043
1940,73.2,LOCID000043
1941,117,LOCID000043
1942,118.5,LOCID000043
1943,94.3,LOCID000043
1944,50.5,LOCID000043
1945,154.9,LOCID000043
1946,140,LOCID000043
1947,107.4,LOCID000043
1948,222.3,LOCID000043
1949,238.8,LOCID000043
1950,187.3,LOCID000043
1951,227.8,LOCID000043
1952,52.1,LOCID000043
1953,76.5,LOCID000043
1954,258.1,LOCID000043
1955,120.6,LOCID000043
1956,105.9,LOCID000043
1957,135.8,LOCID000043
1958,185.4,LOCID000043
1959,54.4,LOCID000043
1960,282.5,LOCID000043
1961,201.4,LOCID000043
1962,105.5,LOCID000043
1963,144.6,LOCID000043
1964,15.4,LOCID000043
1965,250.1,LOCID000043
1966,184,LOCID000043
1967,203.1,LOCID000043
1968,178.4,LOCID000043
1969,167,LOCID000043
1970,234.8,LOCID000043
1971,73.2,LOCID000043
1972,93.2,LOCID000043
1973,133.2,LOCID000043
1974,139.5,LOCID000043
1975,115.1,LOCID000043
1976,38.7,LOCID000043
1977,100.7,LOCID000043
1978,116.3,LOCID000043
1979,59.1,LOCID000043
1980,293.4,LOCID000043
1981,195.3,LOCID000043
1982,133.7,LOCID000043
1983,145.3,LOCID000043
1984,199.8,LOCID000043
1985,99.4,LOCID000043
1986,185.3,LOCID000043
1987,121.5,LOCID000043
1988,118.2,LOCID000043
1989,201.4,LOCID000043
1990,246.5,LOCID000043
1991,205.1,LOCID000043
1992,219.4,LOCID000043
1993,328.5,LOCID000043
1994,237.7,LOCID000043
1995,174.9,LOCID000043
1996,87.3,LOCID000043
1997,218.5,LOCID000043
1998,266.6,LOCID000043
1999,93.8,LOCID000043
2000,71.9,LOCID000043
2001,231.8,LOCID000043
2002,264,LOCID000043
2003,121,LOCID000043
2004,166,LOCID000043
1879,-99.9,LOCID000042
1880,-99.9,LOCID000042
1881,-99.9,LOCID000042
1882,-99.9,LOCID000042
1883,-99.9,LOCID000042
1884,-99.9,LOCID000042
1885,-99.9,LOCID000042
1886,-99.9,LOCID000042
1887,-99.9,LOCID000042
1888,-99.9,LOCID000042
1889,-99.9,LOCID000042
