year,annual,Station
1901,51.7,61700004063
1902,21.8,61700004063
1903,24.2,61700004063
1904,18.6,61700004063
1905,26.4,61700004063
1906,47.8,61700004063
1907,20.5,61700004063
1908,74.5,61700004063
1909,32.3,61700004063
1910,44.8,61700004063
1911,15.6,61700004063
1912,17,61700004063
1913,31.6,61700004063
1914,39.7,61700004063
1915,18.6,61700004063
1916,-99.9,61700004063
1917,24.7,61700004063
1918,18,61700004063
1919,28.2,61700004063
1920,28.9,61700004063
1921,19.2,61700004063
1922,28.5,61700004063
1923,30.4,61700004063
1924,33.4,61700004063
1925,21,61700004063
1926,38,61700004063
1927,55.7,61700004063
1928,27,61700004063
1929,17.9,61700004063
1930,33.4,61700004063
1931,27.3,61700004063
1932,34.9,61700004063
1933,38.8,61700004063
1934,34.4,61700004063
1935,35.2,61700004063
1936,43.5,61700004063
1937,34.3,61700004063
1938,26.1,61700004063
1939,20.6,61700004063
1940,31.7,61700004063
1941,34.6,61700004063
1942,26.6,61700004063
1943,26.9,61700004063
1944,28.4,61700004063
1945,52.3,61700004063
1946,38.6,61700004063
1947,54.1,61700004063
1948,38.4,61700004063
1949,21.7,61700004063
1950,25,61700004063
1951,38.9,61700004063
1952,29.7,61700004063
1953,25.8,61700004063
1954,59.9,61700004063
1955,27.8,61700004063
1956,40.5,61700004063
1957,22.7,61700004063
1958,52.9,61700004063
1959,69.5,61700004063
1960,44.9,61700004063
1961,23.3,61700004063
1962,17.2,61700004063
1963,30.2,61700004063
1964,25.1,61700004063
1965,38.2,61700004063
1966,29.5,61700004063
1967,29,61700004063
1968,34.3,61700004063
1969,31.9,61700004063
1970,26,61700004063
1971,54.1,61700004063
1972,48.6,61700004063
1973,20.4,61700004063
1974,20.4,61700004063
1975,75.3,61700004063
1976,26.7,61700004063
1977,54,61700004063
1978,39.6,61700004063
1979,23.9,61700004063
1980,41.8,61700004063
1981,45.6,61700004063
1982,34.8,61700004063
1983,23.4,61700004063
1984,52.2,61700004063
1985,62.5,61700004063
1986,19.6,61700004063
1987,42.5,61700004063
1988,47.8,61700004063
1989,30.3,61700004063
1990,31.2,61700004063
1991,29.7,61700004063
1992,35.2,61700004063
1993,45.5,61700004063
1994,45.2,61700004063
1995,39.3,61700004063
1996,53.7,61700004063
1997,25.7,61700004063
1998,27.3,61700004063
1999,37.6,61700004063
1879,-99.9,LOCID000043
1880,-99.9,LOCID000043
1881,-99.9,LOCID000043
1882,-99.9,LOCID000043
1883,-99.9,LOCID000043
1884,-99.9,LOCID000043
1885,-99.9,LOCID000043
1886,-99.9,LOCID000043
1887,-99.9,LOCID000043
1888,-99.9,LOCID000043
1889,-99.9,LOCID000043
1890,-99.9,LOCID000043
1891,25.9,LOCID000043
1892,24.1,LOCID000043
1893,21.9,LOCID000043
1894,30.6,LOCID000043
1895,34.9,LOCID000043
1896,33.7,LOCID000043
1897,35.9,LOCID000043
1898,21.1,LOCID000043
1899,23.7,LOCID000043
1900,28.1,LOCID000043
1901,37.6,LOCID000043
