year,SU,Station
1901,53,61700004063
1902,38,61700004063
1903,46,61700004063
1904,50,61700004063
1905,56,61700004063
1906,47,61700004063
1907,41,61700004063
1908,44,61700004063
1909,21,61700004063
1910,24,61700004063
1911,69,61700004063
1912,28,61700004063
1913,23,61700004063
1914,39,61700004063
1915,36,61700004063
1916,26,61700004063
1917,54,61700004063
1918,24,61700004063
1919,33,61700004063
1920,29,61700004063
1921,52,61700004063
1922,26,61700004063
1923,33,61700004063
1924,26,61700004063
1925,28,61700004063
1926,30,61700004063
1927,23,61700004063
1928,30,61700004063
1929,55,61700004063
1930,37,61700004063
1931,35,61700004063
1932,43,61700004063
1933,25,61700004063
1934,63,61700004063
1935,51,61700004063
1936,22,61700004063
1937,45,61700004063
1938,41,61700004063
1939,36,61700004063
1940,23,61700004063
1941,22,61700004063
1942,36,61700004063
1943,32,61700004063
1944,35,61700004063
1945,37,61700004063
1946,29,61700004063
1947,72,61700004063
1948,32,61700004063
1949,51,61700004063
1950,38,61700004063
1951,40,61700004063
1952,39,61700004063
1953,44,61700004063
1954,20,61700004063
1955,21,61700004063
1956,16,61700004063
1957,34,61700004063
1958,31,61700004063
1959,57,61700004063
1960,28,61700004063
1961,38,61700004063
1962,34,61700004063
1963,33,61700004063
1964,56,61700004063
1965,19,61700004063
1966,34,61700004063
1967,40,61700004063
1968,32,61700004063
1969,44,61700004063
1970,37,61700004063
1971,46,61700004063
1972,26,61700004063
1973,47,61700004063
1974,28,61700004063
1975,54,61700004063
1976,51,61700004063
1977,31,61700004063
1978,21,61700004063
1979,36,61700004063
1980,22,61700004063
1981,32,61700004063
1982,57,61700004063
1983,65,61700004063
1984,26,61700004063
1985,38,61700004063
1986,47,61700004063
1987,30,61700004063
1988,38,61700004063
1989,54,61700004063
1990,40,61700004063
1991,46,61700004063
1992,55,61700004063
1993,44,61700004063
1994,58,61700004063
1995,58,61700004063
1996,35,61700004063
1997,62,61700004063
1998,43,61700004063
1999,52,61700004063
1879,-99.9,LOCID000043
1880,-99.9,LOCID000043
1881,-99.9,LOCID000043
1882,-99.9,LOCID000043
1883,-99.9,LOCID000043
1884,-99.9,LOCID000043
1885,-99.9,LOCID000043
1886,-99.9,LOCID000043
1887,-99.9,LOCID000043
1888,-99.9,LOCID000043
1889,-99.9,LOCID000043
1890,-99.9,LOCID000043
1891,5,LOCID000043
1892,16,LOCID000043
1893,12,LOCID000043
1894,10,LOCID000043
1895,13,LOCID000043
1896,15,LOCID000043
1897,13,LOCID000043
1898,10,LOCID000043
1899,11,LOCID000043
1900,19,LOCID000043
1901,13,LOCID000043
1902,11,LOCID000043
1903,8,LOCID000043
1904,14,LOCID000043
1905,16,LOCID000043
1906,20,LOCID000043
1907,8,LOCID000043
1908,14,LOCID000043
1909,5,LOCID000043
1910,8,LOCID000043
1911,29,LOCID000043
1912,12,LOCID000043
1913,9,LOCID000043
1914,16,LOCID000043
1915,7,LOCID000043
1916,3,LOCID000043
1917,20,LOCID000043
1918,8,LOCID000043
1919,12,LOCID000043
1920,10,LOCID000043
1921,25,LOCID000043
1922,8,LOCID000043
1923,12,LOCID000043
1924,11,LOCID000043
1925,26,LOCID000043
1926,15,LOCID000043
1927,16,LOCID000043
1928,11,LOCID000043
1929,25,LOCID000043
1930,22,LOCID000043
1931,16,LOCID000043
1932,36,LOCID000043
1933,20,LOCID000043
1934,40,LOCID000043
1935,23,LOCID000043
1936,21,LOCID000043
1937,22,LOCID000043
1938,28,LOCID000043
1939,24,LOCID000043
1940,17,LOCID000043
1941,22,LOCID000043
1942,20,LOCID000043
1943,25,LOCID000043
1944,35,LOCID000043
1945,20,LOCID000043
1946,17,LOCID000043
1947,48,LOCID000043
1948,19,LOCID000043
1949,16,LOCID000043
1950,16,LOCID000043
1951,13,LOCID000043
1952,14,LOCID000043
1953,23,LOCID000043
1954,13,LOCID000043
1955,20,LOCID000043
1956,9,LOCID000043
1957,17,LOCID000043
1958,6,LOCID000043
1959,32,LOCID000043
1960,10,LOCID000043
1961,14,LOCID000043
1962,3,LOCID000043
1963,14,LOCID000043
1964,20,LOCID000043
1965,4,LOCID000043
1966,17,LOCID000043
1967,11,LOCID000043
1968,18,LOCID000043
1969,35,LOCID000043
1970,22,LOCID000043
1971,26,LOCID000043
1972,17,LOCID000043
1973,25,LOCID000043
1974,7,LOCID000043
1975,39,LOCID000043
1976,41,LOCID000043
1977,12,LOCID000043
1978,16,LOCID000043
1979,16,LOCID000043
1980,13,LOCID000043
1981,16,LOCID000043
1982,28,LOCID000043
1983,42,LOCID000043
1984,16,LOCID000043
1985,13,LOCID000043
1986,21,LOCID000043
1987,9,LOCID000043
1988,8,LOCID000043
1989,30,LOCID000043
1990,19,LOCID000043
1991,19,LOCID000043
1992,31,LOCID000043
1993,14,LOCID000043
1994,33,LOCID000043
1995,41,LOCID000043
1996,20,LOCID000043
1997,38,LOCID000043
1998,14,LOCID000043
1999,39,LOCID000043
2000,19,LOCID000043
2001,24,LOCID000043
2002,34,LOCID000043
2003,44,LOCID000043
2004,22,LOCID000043
1879,-99.9,LOCID000042
1880,-99.9,LOCID000042
1881,-99.9,LOCID000042
1882,-99.9,LOCID000042
1883,-99.9,LOCID000042
1884,-99.9,LOCID000042
1885,-99.9,LOCID000042
1886,-99.9,LOCID000042
1887,-99.9,LOCID000042
1888,-99.9,LOCID000042
1889,-99.9,LOCID000042
1890,-99.9,LOCID000042
1891,-99.9,LOCID000042
1892,-99.9,LOCID000042
1893,-99.9,LOCID000042
1894,-99.9,LOCID000042
1895,-99.9,LOCID000042
1896,-99.9,LOCID000042
1897,-99.9,LOCID000042
1898,-99.9,LOCID000042
1899,-99.9,LOCID000042
1900,-99.9,LOCID000042
1901,-99.9,LOCID000042
1902,-99.9,LOCID000042
1903,-99.9,LOCID000042
1904,-99.9,LOCID000042
1905,-99.9,LOCID000042
1906,-99.9,LOCID000042
1907,-99.9,LOCID000042
1908,-99.9,LOCID000042
1909,-99.9,LOCID000042
1910,-99.9,LOCID000042
1911,-99.9,LOCID000042
1912,-99.9,LOCID000042
1913,-99.9,LOCID000042
1914,-99.9,LOCID000042
1915,-99.9,LOCID000042
1916,-99.9,LOCID000042
1917,-99.9,LOCID000042
1918,-99.9,LOCID000042
1919,-99.9,LOCID000042
1920,-99.9,LOCID000042
1921,-99.9,LOCID000042
1922,-99.9,LOCID000042
1923,-99.9,LOCID000042
1924,-99.9,LOCID000042
1925,-99.9,LOCID000042
1926,-99.9,LOCID000042
1927,-99.9,LOCID000042
1928,-99.9,LOCID000042
1929,-99.9,LOCID000042
1930,-99.9,LOCID000042
1931,-99.9,LOCID000042
1932,-99.9,LOCID000042
1933,-99.9,LOCID000042
1934,-99.9,LOCID000042
1935,-99.9,LOCID000042
1936,-99.9,LOCID000042
1937,-99.9,LOCID000042
1938,-99.9,LOCID000042
1939,-99.9,LOCID000042
1940,-99.9,LOCID000042
1941,-99.9,LOCID000042
1942,-99.9,LOCID000042
1943,-99.9,LOCID000042
1944,-99.9,LOCID000042
1945,-99.9,LOCID000042
1946,-99.9,LOCID000042
1947,-99.9,LOCID000042
1948,-99.9,LOCID000042
1949,-99.9,LOCID000042
1950,-99.9,LOCID000042
1951,-99.9,LOCID000042
1952,-99.9,LOCID000042
1953,-99.9,LOCID000042
1954,-99.9,LOCID000042
1955,-99.9,LOCID000042
1956,-99.9,LOCID000042
1957,-99.9,LOCID000042
1958,-99.9,LOCID000042
1959,-99.9,LOCID000042
1960,-99.9,LOCID000042
1961,-99.9,LOCID000042
1962,-99.9,LOCID000042
1963,-99.9,LOCID000042
1964,-99.9,LOCID000042
1965,-99.9,LOCID000042
1966,-99.9,LOCID000042
1967,-99.9,LOCID000042
1968,-99.9,LOCID000042
1969,-99.9,LOCID000042
1970,-99.9,LOCID000042
1971,-99.9,LOCID000042
1972,-99.9,LOCID000042
1973,-99.9,LOCID000042
1974,-99.9,LOCID000042
1975,-99.9,LOCID000042
1976,-99.9,LOCID000042
1977,-99.9,LOCID000042
1978,-99.9,LOCID000042
1979,-99.9,LOCID000042
1980,-99.9,LOCID000042
1981,-99.9,LOCID000042
1982,-99.9,LOCID000042
1983,-99.9,LOCID000042
1984,-99.9,LOCID000042
1985,-99.9,LOCID000042
1986,-99.9,LOCID000042
1987,-99.9,LOCID000042
1988,-99.9,LOCID000042
1989,-99.9,LOCID000042
1990,-99.9,LOCID000042
1991,-99.9,LOCID000042
1992,-99.9,LOCID000042
1993,-99.9,LOCID000042
1994,-99.9,LOCID000042
1995,-99.9,LOCID000042
1996,-99.9,LOCID000042
1997,-99.9,LOCID000042
1998,-99.9,LOCID000042
1999,-99.9,LOCID000042
2000,-99.9,LOCID000042
2001,-99.9,LOCID000042
2002,-99.9,LOCID000042
2003,-99.9,LOCID000042
2004,-99.9,LOCID000042
1870,46,LOCID000040
1871,36,LOCID000040
1872,30,LOCID000040
1873,49,LOCID000040
1874,52,LOCID000040
1875,54,LOCID000040
1876,56,LOCID000040
1877,46,LOCID000040
1878,32,LOCID000040
1879,26,LOCID000040
1880,46,LOCID000040
1881,40,LOCID000040
1882,23,LOCID000040
1883,36,LOCID000040
1884,46,LOCID000040
1885,36,LOCID000040
1886,47,LOCID000040
1887,40,LOCID000040
1888,21,LOCID000040
1889,52,LOCID000040
1890,27,LOCID000040
1891,27,LOCID000040
1892,43,LOCID000040
1893,42,LOCID000040
1894,27,LOCID000040
1895,54,LOCID000040
1896,23,LOCID000040
1897,40,LOCID000040
1898,30,LOCID000040
1899,46,LOCID000040
1900,42,LOCID000040
1901,50,LOCID000040
1902,35,LOCID000040
1903,37,LOCID000040
1904,52,LOCID000040
1905,54,LOCID000040
1906,43,LOCID000040
1907,38,LOCID000040
1908,37,LOCID000040
1909,24,LOCID000040
1910,24,LOCID000040
1911,65,LOCID000040
1912,31,LOCID000040
1913,30,LOCID000040
1914,38,LOCID000040
1915,30,LOCID000040
1916,19,LOCID000040
1917,47,LOCID000040
1918,26,LOCID000040
1919,37,LOCID000040
1920,26,LOCID000040
1921,59,LOCID000040
1922,31,LOCID000040
1923,31,LOCID000040
1924,24,LOCID000040
1925,29,LOCID000040
1926,36,LOCID000040
1927,41,LOCID000040
1928,51,LOCID000040
1929,61,LOCID000040
1930,40,LOCID000040
1931,37,LOCID000040
