year,annual,Station
1901,46.03,61700004063
1902,41.64,61700004063
1903,47.95,61700004063
1904,50.41,61700004063
1905,50.41,61700004063
1906,51.51,61700004063
1907,43.56,61700004063
1908,36.71,61700004063
1909,40,61700004063
1910,48.77,61700004063
1911,54.25,61700004063
1912,45.48,61700004063
1913,46.3,61700004063
1914,50.41,61700004063
1915,44.66,61700004063
1916,57.81,61700004063
1917,47.67,61700004063
1918,51.23,61700004063
1919,39.73,61700004063
1920,43.56,61700004063
1921,45.21,61700004063
1922,35.62,61700004063
1923,48.22,61700004063
1924,37.26,61700004063
1925,46.85,61700004063
1926,52.05,61700004063
1927,49.04,61700004063
1928,47.95,61700004063
1929,47.12,61700004063
1930,54.79,61700004063
1931,45.21,61700004063
1932,50.68,61700004063
1933,41.92,61700004063
1934,64.11,61700004063
1935,55.07,61700004063
1936,57.26,61700004063
1937,60.82,61700004063
1938,55.62,61700004063
1939,55.07,61700004063
1940,47.12,61700004063
1941,44.11,61700004063
1942,44.38,61700004063
1943,50.68,61700004063
1944,55.62,61700004063
1945,60.27,61700004063
1946,52.05,61700004063
1947,57.53,61700004063
1948,56.71,61700004063
1949,56.99,61700004063
1950,54.52,61700004063
1951,59.73,61700004063
1952,49.86,61700004063
1953,55.62,61700004063
1954,52.6,61700004063
1955,43.01,61700004063
1956,42.74,61700004063
1957,54.52,61700004063
1958,53.7,61700004063
1959,44.11,61700004063
1960,48.49,61700004063
1961,51.62,61700004063
1962,35.12,61700004063
1963,41.5,61700004063
1964,45.17,61700004063
1965,45.8,61700004063
1966,52.4,61700004063
1967,51.86,61700004063
1968,48.77,61700004063
1969,44.98,61700004063
1970,47.43,61700004063
1971,49.8,61700004063
1972,43.26,61700004063
1973,46.6,61700004063
1974,56.01,61700004063
1975,57.29,61700004063
1976,47.73,61700004063
1977,57.53,61700004063
1978,49.16,61700004063
1979,47.76,61700004063
1980,40.78,61700004063
1981,54.16,61700004063
1982,52.95,61700004063
1983,56.12,61700004063
1984,48.51,61700004063
1985,41.59,61700004063
1986,50.25,61700004063
1987,46.41,61700004063
1988,64.77,61700004063
1989,57.22,61700004063
1990,56.32,61700004063
1991,44.66,61700004063
1992,61.1,61700004063
1993,55.34,61700004063
1994,65.48,61700004063
1995,55.34,61700004063
1996,43.29,61700004063
1997,52.6,61700004063
1998,53.15,61700004063
1999,59.73,61700004063
1879,-99.9,LOCID000043
1880,-99.9,LOCID000043
1881,-99.9,LOCID000043
1882,-99.9,LOCID000043
1883,-99.9,LOCID000043
1884,-99.9,LOCID000043
