year,annual,Station
1901,55.07,61700004063
1902,54.52,61700004063
1903,55.62,61700004063
1904,56.44,61700004063
1905,54.25,61700004063
1906,56.44,61700004063
1907,58.36,61700004063
1908,45.75,61700004063
1909,47.4,61700004063
1910,51.78,61700004063
1911,66.58,61700004063
1912,52.6,61700004063
1913,57.26,61700004063
1914,56.44,61700004063
1915,50.68,61700004063
1916,56.71,61700004063
1917,47.4,61700004063
1918,50.41,61700004063
1919,41.92,61700004063
1920,58.08,61700004063
1921,66.03,61700004063
1922,36.99,61700004063
1923,46.03,61700004063
1924,43.01,61700004063
1925,47.95,61700004063
1926,54.52,61700004063
1927,44.93,61700004063
1928,57.26,61700004063
1929,49.59,61700004063
1930,54.25,61700004063
1931,44.38,61700004063
1932,48.22,61700004063
1933,46.03,61700004063
1934,70.41,61700004063
1935,53.42,61700004063
1936,50.68,61700004063
1937,53.7,61700004063
1938,55.07,61700004063
1939,43.84,61700004063
1940,37.81,61700004063
1941,36.71,61700004063
1942,43.01,61700004063
1943,56.71,61700004063
1944,43.29,61700004063
1945,52.88,61700004063
1946,49.86,61700004063
1947,59.45,61700004063
1948,57.53,61700004063
1949,61.1,61700004063
1950,49.04,61700004063
1951,60.55,61700004063
1952,41.92,61700004063
1953,56.44,61700004063
1954,48.77,61700004063
1955,38.9,61700004063
1956,38.63,61700004063
1957,52.6,61700004063
1958,48.49,61700004063
1959,66.58,61700004063
1960,53.97,61700004063
1961,56.96,61700004063
1962,41.89,61700004063
1963,45.59,61700004063
1964,46.78,61700004063
1965,44.86,61700004063
1966,52.22,61700004063
1967,58.36,61700004063
1968,40.84,61700004063
1969,48.97,61700004063
1970,39.67,61700004063
1971,57.39,61700004063
1972,46.39,61700004063
1973,46.41,61700004063
1974,52.98,61700004063
1975,57.44,61700004063
1976,54.71,61700004063
1977,51.22,61700004063
1978,41.13,61700004063
1979,45.55,61700004063
1980,43.49,61700004063
1981,45.68,61700004063
1982,53.69,61700004063
1983,58.28,61700004063
1984,45.96,61700004063
1985,48.9,61700004063
1986,51.03,61700004063
1987,40.31,61700004063
1988,59.88,61700004063
1989,60.6,61700004063
1990,57.18,61700004063
1991,50.41,61700004063
1992,59.18,61700004063
1993,51.23,61700004063
1994,67.12,61700004063
1995,51.23,61700004063
1996,42.19,61700004063
1997,58.63,61700004063
1998,54.52,61700004063
1999,63.01,61700004063
1879,-99.9,LOCID000043
1880,-99.9,LOCID000043
1881,-99.9,LOCID000043
1882,-99.9,LOCID000043
1883,-99.9,LOCID000043
1884,-99.9,LOCID000043
1885,-99.9,LOCID000043
1886,-99.9,LOCID000043
1887,-99.9,LOCID000043
1888,-99.9,LOCID000043
1889,-99.9,LOCID000043
1890,-99.9,LOCID000043
1891,36.71,LOCID000043
1892,33.15,LOCID000043
1893,43.84,LOCID000043
1894,42.74,LOCID000043
1895,36.44,LOCID000043
1896,30.41,LOCID000043
1897,37.53,LOCID000043
1898,43.56,LOCID000043
1899,46.3,LOCID000043
1900,41.37,LOCID000043
1901,42.74,LOCID000043
1902,28.49,LOCID000043
1903,47.67,LOCID000043
1904,46.58,LOCID000043
1905,49.32,LOCID000043
1906,53.15,LOCID000043
1907,44.38,LOCID000043
1908,48.49,LOCID000043
1909,39.45,LOCID000043
1910,53.42,LOCID000043
1911,64.38,LOCID000043
1912,45.21,LOCID000043
1913,58.9,LOCID000043
1914,53.97,LOCID000043
1915,35.89,LOCID000043
1916,49.04,LOCID000043
1917,41.1,LOCID000043
1918,53.97,LOCID000043
1919,39.45,LOCID000043
1920,50.14,LOCID000043
1921,58.9,LOCID000043
1922,34.79,LOCID000043
1923,35.89,LOCID000043
1924,40.55,LOCID000043
1925,53.42,LOCID000043
1926,54.25,LOCID000043
1927,47.4,LOCID000043
1928,53.7,LOCID000043
1929,43.29,LOCID000043
1930,53.15,LOCID000043
1931,41.37,LOCID000043
1932,52.05,LOCID000043
1933,53.15,LOCID000043
1934,74.25,LOCID000043
1935,54.25,LOCID000043
1936,51.78,LOCID000043
1937,50.41,LOCID000043
1938,58.36,LOCID000043
1939,55.62,LOCID000043
1940,41.1,LOCID000043
1941,42.74,LOCID000043
1942,47.12,LOCID000043
1943,61.1,LOCID000043
1944,54.52,LOCID000043
1945,62.74,LOCID000043
1946,49.32,LOCID000043
1947,54.25,LOCID000043
1948,60.55,LOCID000043
1949,63.29,LOCID000043
1950,47.95,LOCID000043
1951,57.81,LOCID000043
1952,39.45,LOCID000043
1953,61.92,LOCID000043
1954,46.03,LOCID000043
1955,48.49,LOCID000043
1956,40.55,LOCID000043
1957,53.42,LOCID000043
1958,45.21,LOCID000043
1959,65.21,LOCID000043
1960,47.12,LOCID000043
1961,55.8,LOCID000043
1962,35.81,LOCID000043
1963,42.63,LOCID000043
1964,44.4,LOCID000043
1965,42.53,LOCID000043
1966,45.19,LOCID000043
1967,61.4,LOCID000043
1968,47.74,LOCID000043
1969,44.28,LOCID000043
1970,38.9,LOCID000043
1971,57.97,LOCID000043
1972,46.02,LOCID000043
1973,55.64,LOCID000043
1974,53.87,LOCID000043
1975,63.66,LOCID000043
1976,55.67,LOCID000043
1977,51.39,LOCID000043
1978,41.32,LOCID000043
1979,35.11,LOCID000043
1980,42.92,LOCID000043
1981,45.52,LOCID000043
1982,59.71,LOCID000043
1983,60.63,LOCID000043
1984,49.29,LOCID000043
1985,43.07,LOCID000043
1986,48.64,LOCID000043
1987,38.08,LOCID000043
1988,59.63,LOCID000043
1989,67.61,LOCID000043
1990,61.1,LOCID000043
1991,52.33,LOCID000043
1992,63.56,LOCID000043
1993,42.47,LOCID000043
1994,57.53,LOCID000043
1995,59.45,LOCID000043
1996,38.9,LOCID000043
1997,61.1,LOCID000043
1998,52.33,LOCID000043
1999,70.14,LOCID000043
2000,66.85,LOCID000043
2001,54.52,LOCID000043
2002,62.19,LOCID000043
2003,66.58,LOCID000043
2004,58.08,LOCID000043
1879,-99.9,LOCID000042
1880,-99.9,LOCID000042
1881,-99.9,LOCID000042
1882,-99.9,LOCID000042
1883,-99.9,LOCID000042
1884,-99.9,LOCID000042
1885,-99.9,LOCID000042
1886,-99.9,LOCID000042
1887,-99.9,LOCID000042
1888,-99.9,LOCID000042
1889,-99.9,LOCID000042
1890,-99.9,LOCID000042
1891,-99.9,LOCID000042
1892,-99.9,LOCID000042
1893,-99.9,LOCID000042
1894,-99.9,LOCID000042
1895,-99.9,LOCID000042
1896,-99.9,LOCID000042
1897,-99.9,LOCID000042
1898,-99.9,LOCID000042
1899,-99.9,LOCID000042
1900,-99.9,LOCID000042
1901,-99.9,LOCID000042
1902,-99.9,LOCID000042
1903,-99.9,LOCID000042
1904,-99.9,LOCID000042
1905,-99.9,LOCID000042
1906,-99.9,LOCID000042
1907,-99.9,LOCID000042
1908,-99.9,LOCID000042
1909,-99.9,LOCID000042
1910,-99.9,LOCID000042
1911,-99.9,LOCID000042
1912,-99.9,LOCID000042
1913,-99.9,LOCID000042
1914,-99.9,LOCID000042
1915,-99.9,LOCID000042
1916,-99.9,LOCID000042
1917,-99.9,LOCID000042
1918,-99.9,LOCID000042
1919,-99.9,LOCID000042
1920,-99.9,LOCID000042
1921,-99.9,LOCID000042
1922,-99.9,LOCID000042
1923,-99.9,LOCID000042
1924,-99.9,LOCID000042
1925,-99.9,LOCID000042
1926,-99.9,LOCID000042
1927,-99.9,LOCID000042
1928,-99.9,LOCID000042
1929,-99.9,LOCID000042
1930,-99.9,LOCID000042
1931,-99.9,LOCID000042
1932,-99.9,LOCID000042
1933,-99.9,LOCID000042
1934,-99.9,LOCID000042
1935,-99.9,LOCID000042
1936,-99.9,LOCID000042
1937,-99.9,LOCID000042
1938,-99.9,LOCID000042
1939,-99.9,LOCID000042
1940,-99.9,LOCID000042
1941,-99.9,LOCID000042
1942,-99.9,LOCID000042
1943,-99.9,LOCID000042
1944,-99.9,LOCID000042
1945,-99.9,LOCID000042
1946,-99.9,LOCID000042
1947,-99.9,LOCID000042
1948,-99.9,LOCID000042
1949,-99.9,LOCID000042
1950,-99.9,LOCID000042
1951,-99.9,LOCID000042
1952,-99.9,LOCID000042
1953,-99.9,LOCID000042
1954,-99.9,LOCID000042
1955,-99.9,LOCID000042
1956,-99.9,LOCID000042
1957,-99.9,LOCID000042
1958,-99.9,LOCID000042
1959,-99.9,LOCID000042
1960,-99.9,LOCID000042
1961,-99.9,LOCID000042
1962,-99.9,LOCID000042
1963,-99.9,LOCID000042
1964,-99.9,LOCID000042
1965,-99.9,LOCID000042
1966,-99.9,LOCID000042
1967,-99.9,LOCID000042
1968,-99.9,LOCID000042
1969,-99.9,LOCID000042
1970,-99.9,LOCID000042
1971,-99.9,LOCID000042
1972,-99.9,LOCID000042
1973,-99.9,LOCID000042
1974,-99.9,LOCID000042
1975,-99.9,LOCID000042
1976,-99.9,LOCID000042
1977,-99.9,LOCID000042
1978,-99.9,LOCID000042
1979,-99.9,LOCID000042
1980,-99.9,LOCID000042
1981,-99.9,LOCID000042
1982,-99.9,LOCID000042
1983,-99.9,LOCID000042
1984,-99.9,LOCID000042
1985,-99.9,LOCID000042
1986,-99.9,LOCID000042
1987,-99.9,LOCID000042
1988,-99.9,LOCID000042
1989,-99.9,LOCID000042
1990,-99.9,LOCID000042
1991,-99.9,LOCID000042
1992,-99.9,LOCID000042
1993,-99.9,LOCID000042
1994,-99.9,LOCID000042
1995,-99.9,LOCID000042
1996,-99.9,LOCID000042
1997,-99.9,LOCID000042
1998,-99.9,LOCID000042
1999,-99.9,LOCID000042
2000,-99.9,LOCID000042
2001,-99.9,LOCID000042
2002,-99.9,LOCID000042
2003,-99.9,LOCID000042
2004,-99.9,LOCID000042
1870,40.27,LOCID000040
1871,32.88,LOCID000040
1872,53.7,LOCID000040
1873,53.97,LOCID000040
1874,51.23,LOCID000040
1875,52.33,LOCID000040
1876,56.44,LOCID000040
1877,52.05,LOCID000040
1878,46.58,LOCID000040
1879,33.42,LOCID000040
1880,52.88,LOCID000040
1881,44.93,LOCID000040
1882,45.75,LOCID000040
1883,49.59,LOCID000040
1884,55.34,LOCID000040
1885,38.08,LOCID000040
1886,51.23,LOCID000040
1887,37.26,LOCID000040
1888,37.81,LOCID000040
1889,38.08,LOCID000040
1890,42.19,LOCID000040
1891,42.74,LOCID000040
1892,44.66,LOCID000040
1893,52.05,LOCID000040
1894,44.93,LOCID000040
1895,45.75,LOCID000040
1896,35.34,LOCID000040
1897,47.12,LOCID000040
1898,49.59,LOCID000040
1899,53.97,LOCID000040
1900,54.79,LOCID000040
1901,48.22,LOCID000040
1902,47.12,LOCID000040
1903,53.97,LOCID000040
1904,53.15,LOCID000040
1905,52.33,LOCID000040
1906,53.42,LOCID000040
1907,53.7,LOCID000040
1908,43.29,LOCID000040
1909,42.47,LOCID000040
1910,52.88,LOCID000040
1911,61.1,LOCID000040
1912,48.49,LOCID000040
1913,55.89,LOCID000040
1914,48.77,LOCID000040
1915,44.38,LOCID000040
1916,52.88,LOCID000040
1917,43.56,LOCID000040
1918,46.03,LOCID000040
1919,42.74,LOCID000040
1920,54.52,LOCID000040
1921,66.03,LOCID000040
1922,36.16,LOCID000040
1923,46.03,LOCID000040
1924,41.92,LOCID000040
1925,45.75,LOCID000040
1926,53.97,LOCID000040
1927,47.4,LOCID000040
1928,60.55,LOCID000040
1929,53.42,LOCID000040
1930,60,LOCID000040
1931,46.85,LOCID000040
1932,48.22,LOCID000040
1933,54.79,LOCID000040
1934,66.58,LOCID000040
1935,55.89,LOCID000040
1936,55.89,LOCID000040
1937,55.89,LOCID000040
1938,60,LOCID000040
1939,49.86,LOCID000040
1940,43.56,LOCID000040
1941,45.48,LOCID000040
1942,51.51,LOCID000040
1943,65.75,LOCID000040
1944,54.25,LOCID000040
1945,-99.9,LOCID000040
1946,50.96,LOCID000040
1947,62.47,LOCID000040
1948,62.19,LOCID000040
1949,64.11,LOCID000040
1950,54.52,LOCID000040
1951,65.75,LOCID000040
1952,51.23,LOCID000040
1953,59.18,LOCID000040
1954,50.96,LOCID000040
1955,46.3,LOCID000040
1956,46.3,LOCID000040
1957,57.53,LOCID000040
1958,51.78,LOCID000040
1959,68.77,LOCID000040
1960,56.71,LOCID000040
1961,57.18,LOCID000040
1962,40.8,LOCID000040
1963,43.6,LOCID000040
1964,49.67,LOCID000040
1965,42.26,LOCID000040
1966,55.33,LOCID000040
1967,59.92,LOCID000040
1968,42.21,LOCID000040
1969,49.36,LOCID000040
1970,45.73,LOCID000040
1971,61.27,LOCID000040
1972,45.29,LOCID000040
1973,46.31,LOCID000040
1974,50.56,LOCID000040
1975,57.08,LOCID000040
1976,53.62,LOCID000040
1977,47.41,LOCID000040
1978,39.57,LOCID000040
1979,39.24,LOCID000040
1980,42.64,LOCID000040
1981,45.1,LOCID000040
1982,52.23,LOCID000040
1983,53.05,LOCID000040
1984,45.6,LOCID000040
1985,47.94,LOCID000040
1986,52.53,LOCID000040
1987,42.74,LOCID000040
1988,61.73,LOCID000040
1989,63.23,LOCID000040
1990,61.01,LOCID000040
1991,53.42,LOCID000040
1992,60.82,LOCID000040
1993,50.41,LOCID000040
1994,65.48,LOCID000040
1995,56.99,LOCID000040
1996,44.93,LOCID000040
1997,59.18,LOCID000040
1998,54.52,LOCID000040
1999,66.3,LOCID000040
2000,69.59,LOCID000040
2001,59.18,LOCID000040
2002,66.58,LOCID000040
2003,72.05,LOCID000040
2004,59.73,LOCID000040
1879,-99.9,LOCID000054
1880,-99.9,LOCID000054
1881,-99.9,LOCID000054
1882,-99.9,LOCID000054
1883,-99.9,LOCID000054
1884,-99.9,LOCID000054
1885,-99.9,LOCID000054
1886,-99.9,LOCID000054
1887,-99.9,LOCID000054
1888,-99.9,LOCID000054
1889,-99.9,LOCID000054
1890,-99.9,LOCID000054
1891,-99.9,LOCID000054
1892,-99.9,LOCID000054
1893,-99.9,LOCID000054
1894,-99.9,LOCID000054
1895,-99.9,LOCID000054
1896,-99.9,LOCID000054
1897,-99.9,LOCID000054
1898,-99.9,LOCID000054
1899,-99.9,LOCID000054
1900,-99.9,LOCID000054
1901,-99.9,LOCID000054
1902,-99.9,LOCID000054
1903,-99.9,LOCID000054
1904,-99.9,LOCID000054
1905,-99.9,LOCID000054
1906,-99.9,LOCID000054
1907,-99.9,LOCID000054
1908,-99.9,LOCID000054
1909,-99.9,LOCID000054
1910,-99.9,LOCID000054
1911,-99.9,LOCID000054
1912,-99.9,LOCID000054
1913,-99.9,LOCID000054
1914,-99.9,LOCID000054
1915,-99.9,LOCID000054
1916,-99.9,LOCID000054
1917,-99.9,LOCID000054
1918,-99.9,LOCID000054
1919,-99.9,LOCID000054
1920,-99.9,LOCID000054
1921,-99.9,LOCID000054
1922,-99.9,LOCID000054
1923,-99.9,LOCID000054
1924,-99.9,LOCID000054
1925,-99.9,LOCID000054
1926,-99.9,LOCID000054
1927,-99.9,LOCID000054
1928,-99.9,LOCID000054
1929,-99.9,LOCID000054
1930,-99.9,LOCID000054
1931,-99.9,LOCID000054
1932,-99.9,LOCID000054
1933,-99.9,LOCID000054
1934,-99.9,LOCID000054
1935,-99.9,LOCID000054
1936,-99.9,LOCID000054
1937,-99.9,LOCID000054
1938,-99.9,LOCID000054
1939,-99.9,LOCID000054
1940,-99.9,LOCID000054
1941,-99.9,LOCID000054
1942,-99.9,LOCID000054
1943,-99.9,LOCID000054
1944,-99.9,LOCID000054
1945,-99.9,LOCID000054
1946,-99.9,LOCID000054
1947,-99.9,LOCID000054
1948,-99.9,LOCID000054
1949,-99.9,LOCID000054
1950,-99.9,LOCID000054
1951,-99.9,LOCID000054
1952,-99.9,LOCID000054
1953,-99.9,LOCID000054
1954,-99.9,LOCID000054
1955,-99.9,LOCID000054
1956,-99.9,LOCID000054
1957,-99.9,LOCID000054
1958,-99.9,LOCID000054
1959,-99.9,LOCID000054
1960,-99.9,LOCID000054
1961,-99.9,LOCID000054
1962,-99.9,LOCID000054
1963,-99.9,LOCID000054
1964,-99.9,LOCID000054
1965,-99.9,LOCID000054
1966,-99.9,LOCID000054
1967,-99.9,LOCID000054
1968,-99.9,LOCID000054
1969,-99.9,LOCID000054
1970,-99.9,LOCID000054
1971,-99.9,LOCID000054
1972,-99.9,LOCID000054
1973,-99.9,LOCID000054
1974,-99.9,LOCID000054
1975,-99.9,LOCID000054
1976,-99.9,LOCID000054
1977,-99.9,LOCID000054
1978,-99.9,LOCID000054
1979,-99.9,LOCID000054
1980,-99.9,LOCID000054
1981,-99.9,LOCID000054
1982,-99.9,LOCID000054
1983,-99.9,LOCID000054
1984,-99.9,LOCID000054
1985,-99.9,LOCID000054
1986,-99.9,LOCID000054
1987,-99.9,LOCID000054
1988,-99.9,LOCID000054
1989,-99.9,LOCID000054
1990,-99.9,LOCID000054
1991,-99.9,LOCID000054
1992,-99.9,LOCID000054
1993,-99.9,LOCID000054
1994,-99.9,LOCID000054
1995,-99.9,LOCID000054
1996,-99.9,LOCID000054
1997,-99.9,LOCID000054
