year,annual,Station
1901,33.1,61700004063
1902,33.7,61700004063
1903,32,61700004063
1904,35.1,61700004063
1905,34.4,61700004063
1906,32.8,61700004063
1907,32.6,61700004063
1908,33,61700004063
1909,29.8,61700004063
1910,29.7,61700004063
1911,36.9,61700004063
1912,30.7,61700004063
1913,29.4,61700004063
1914,29.8,61700004063
1915,33,61700004063
1916,29.4,61700004063
1917,33.7,61700004063
1918,32.2,61700004063
1919,31.4,61700004063
1920,33.2,61700004063
1921,37.3,61700004063
1922,34.1,61700004063
1923,35.1,61700004063
1924,30.4,61700004063
1925,33.1,61700004063
1926,30.2,61700004063
1927,31,61700004063
1928,34.3,61700004063
1929,34.4,61700004063
1930,33.5,61700004063
1931,31,61700004063
1932,33.2,61700004063
1933,32.3,61700004063
1934,32.9,61700004063
1935,33.4,61700004063
1936,31.3,61700004063
1937,34.3,61700004063
1938,32.5,61700004063
1939,30,61700004063
1940,28.3,61700004063
1941,31.2,61700004063
1942,31.5,61700004063
1943,35,61700004063
1944,33,61700004063
1945,31.5,61700004063
1946,31.8,61700004063
1947,37.5,61700004063
1948,31.4,61700004063
1949,34.2,61700004063
1950,32.7,61700004063
1951,32,61700004063
1952,36.2,61700004063
1953,31.8,61700004063
1954,32.8,61700004063
1955,30.3,61700004063
1956,27.8,61700004063
1957,37.2,61700004063
1958,31.4,61700004063
1959,36,61700004063
1960,31.8,61700004063
1961,31.8,61700004063
1962,34,61700004063
1963,34,61700004063
1964,34.5,61700004063
1965,32.8,61700004063
1966,34.3,61700004063
1967,34.3,61700004063
1968,30.6,61700004063
1969,34.4,61700004063
1970,30.8,61700004063
1971,34.3,61700004063
1972,32.2,61700004063
1973,32.3,61700004063
1974,34.4,61700004063
1975,31.6,61700004063
1976,34,61700004063
1977,31,61700004063
1978,30.3,61700004063
1979,31.2,61700004063
1980,32.3,61700004063
1981,31.2,61700004063
1982,32.3,61700004063
1983,36.1,61700004063
1984,35.5,61700004063
1985,32.5,61700004063
1986,32.8,61700004063
1987,32.2,61700004063
1988,32.6,61700004063
1989,34.2,61700004063
1990,34.1,61700004063
1991,34.1,61700004063
1992,35.1,61700004063
1993,32,61700004063
1994,35.5,61700004063
1995,34.7,61700004063
1996,33.1,61700004063
1997,33.3,61700004063
1998,37.7,61700004063
1999,33,61700004063
1879,-99.9,LOCID000043
1880,-99.9,LOCID000043
1881,-99.9,LOCID000043
1882,-99.9,LOCID000043
1883,-99.9,LOCID000043
1884,-99.9,LOCID000043
1885,-99.9,LOCID000043
1886,-99.9,LOCID000043
1887,-99.9,LOCID000043
1888,-99.9,LOCID000043
1889,-99.9,LOCID000043
1890,-99.9,LOCID000043
1891,26.8,LOCID000043
1892,31.7,LOCID000043
1893,31,LOCID000043
