year,cdd,Station,csdi,cwd,DTR,FD,gsl,ID,prcptot,R10mm,R20mm,r95p,r99p,Rnnmm,RX1day,RX5day,sdii,SU,TN10p,TN50p,TN90p,TNn,TNx,TR,TX10p,TX50p,TX90p,TXn,TXx,wsdi,Station_name
1901,19,61700004063,18,5,10.34,106,253,29,748.4,18,6,259.9,125,3,51.7,63.3,6.5,53,10.68,46.03,5.48,-23.8,17.7,0,10.68,55.07,9.32,-10.9,33.1,12,
1902,23,61700004063,13,6,10.11,99,227,15,571.2,14,2,77.8,0,0,21.8,54.6,4.8,38,10.41,41.64,9.86,-17.1,18.1,0,10.41,54.52,9.59,-10.6,33.7,8,
1903,20,61700004063,0,5,9.96,97,316,18,532.1,9,2,44.8,0,0,24.2,45,4.9,46,5.48,47.95,9.32,-13.8,17.3,0,5.48,55.62,16.44,-5.6,32,23,
1904,19,61700004063,0,6,9.67,101,234,28,515.5,12,0,119.8,0,0,18.6,29,4.8,50,4.38,50.41,9.04,-12.9,16.6,0,4.38,56.44,9.59,-4.5,35.1,0,
1905,11,61700004063,0,6,9.24,103,223,15,624.5,13,2,86.2,0,1,26.4,50.2,4.9,56,10.14,50.41,9.04,-19.9,20.2,1,10.14,54.25,9.59,-9.5,34.4,7,
1906,20,61700004063,6,10,9.76,104,241,17,667.2,17,5,195.7,77.9,2,47.8,62.9,5.6,47,8.49,51.51,10.41,-13.5,17.9,0,8.49,56.44,13.97,-6.2,32.8,6,
1907,18,61700004063,0,8,10.08,97,235,15,480.4,12,1,107.4,0,0,20.5,30.7,4.4,41,6.3,43.56,5.75,-16.4,18.5,0,6.3,58.36,12.33,-7.8,32.6,0,
1908,27,61700004063,13,7,9.8,127,174,25,600.7,11,2,178.4,106.2,2,74.5,87,5.3,44,10.14,36.71,4.38,-17.2,16.2,0,10.14,45.75,7.67,-9.5,33,0,
1909,19,61700004063,0,7,9.48,114,230,24,656.7,17,1,136.5,32.3,1,32.3,52.7,5.8,21,7.67,40,4.38,-15.2,17,0,7.67,47.4,5.75,-6,29.8,0,
1910,16,61700004063,0,7,9.21,99,264,3,724.2,18,4,173.4,82.8,2,44.8,58.5,5.5,24,4.93,48.77,7.4,-13,16.6,0,4.93,51.78,9.86,-3,29.7,6,
1911,39,61700004063,0,9,10.71,98,245,14,365.6,6,0,15.6,0,0,15.6,37.8,4.3,69,1.92,54.25,9.32,-19.2,20.3,2,1.92,66.58,16.44,-6.4,36.9,19,
1912,21,61700004063,7,5,9.34,93,252,19,572.1,12,0,49.1,0,0,17,41.9,4.4,28,10.68,45.48,8.22,-19.6,15.3,0,10.68,52.6,9.59,-8,30.7,7,
1913,22,61700004063,0,9,9.34,81,268,11,634,16,3,96.8,60.4,2,31.6,51.7,5.3,23,7.12,46.3,10.96,-10.5,15.8,0,7.12,57.26,9.86,-5.5,29.4,0,
1914,15,61700004063,0,11,9.4,89,255,18,672.6,13,4,134.8,39.7,1,39.7,41.2,5.5,39,5.75,50.41,7.12,-13.5,17.4,0,5.75,56.44,10.14,-5,29.8,0,
1915,13,61700004063,0,14,9.56,109,205,17,643.1,17,0,117.8,0,0,18.6,51.2,5.2,36,9.04,44.66,10.68,-18,17.6,0,9.04,50.68,9.86,-5.8,33,6,
1916,-99.9,61700004063,0,-99.9,9.02,78,260,4,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,26,4.66,57.81,12.33,-7,15.4,0,4.66,56.71,11.23,-2.6,29.4,9,
1917,18,61700004063,9,7,9.32,121,186,39,575.1,14,3,157.9,0,0,24.7,50.3,5.3,54,13.15,47.67,7.12,-21.4,16.9,0,13.15,47.4,8.77,-8.4,33.7,8,
1918,17,61700004063,0,7,8.92,86,261,16,540.1,11,0,51.5,0,0,18,34.8,4.6,24,6.03,51.23,11.78,-15.3,18.5,0,6.03,50.41,9.32,-3.4,32.2,0,
1919,19,61700004063,8,12,8.69,100,198,28,573.7,8,3,85.3,28.2,1,28.2,37.6,4.4,33,20.55,39.73,7.67,-17.3,16.1,0,20.55,41.92,8.22,-4.4,31.4,0,
1920,44,61700004063,0,7,9.79,106,240,9,542.3,12,3,147.9,28.9,1,28.9,84.1,5.3,29,5.21,43.56,11.51,-10.6,16.9,0,5.21,58.08,11.51,-6.7,33.2,7,
1921,29,61700004063,13,5,10.8,106,310,15,418.7,10,0,53.1,0,0,19.2,33.6,4.6,52,7.95,45.21,10.96,-15.4,19.7,0,7.95,66.03,17.81,-8,37.3,19,
1922,12,61700004063,15,6,8.92,128,239,29,773.2,21,5,143.8,55.3,3,28.5,40.6,4.9,26,16.71,35.62,7.12,-22.9,18.3,0,16.71,36.99,6.58,-9.1,34.1,0,
1923,18,61700004063,0,8,9.04,105,233,16,640.4,14,2,86.9,30.4,2,30.4,54,4.7,33,10.14,48.22,7.4,-27.3,16.7,0,10.14,46.03,9.04,-13.8,35.1,6,
1924,20,61700004063,6,11,9.27,133,228,35,632.6,17,2,161,33.4,1,33.4,90.2,5.9,26,7.95,37.26,6.3,-19.1,16.9,0,7.95,43.01,4.11,-7.6,30.4,0,
1925,14,61700004063,6,11,9.01,105,224,18,594.9,16,2,93.5,0,0,21,45.4,4.9,28,13.7,46.85,8.77,-21.7,19.1,0,13.7,47.95,9.32,-12.1,33.1,9,
1926,16,61700004063,0,8,8.89,85,206,15,638.1,17,3,132.6,38,1,38,80.9,5.3,30,6.58,52.05,10.96,-12.7,17.1,0,6.58,54.52,9.32,-6,30.2,6,
1927,18,61700004063,0,5,8.27,107,258,18,718.2,14,5,266.2,149.4,3,55.7,68.5,6.1,23,11.78,49.04,7.4,-16.2,17.2,0,11.78,44.93,7.67,-8,31,0,
1928,26,61700004063,0,11,9.14,98,250,15,588.6,14,1,27,27,1,27,35.5,4.6,30,11.78,47.95,12.05,-13,18.7,0,11.78,57.26,10.41,-6.5,34.3,0,
1929,19,61700004063,17,7,9.89,112,240,53,409.7,9,0,17.9,0,0,17.9,33.3,4.5,55,15.07,47.12,10.68,-25.1,18.6,0,15.07,49.59,12.05,-16.4,34.4,14,
1930,22,61700004063,0,8,8.93,98,235,8,662.9,17,3,135,33.4,1,33.4,66.4,5.3,37,5.21,54.79,11.51,-9.4,18.2,0,5.21,54.25,12.33,-3.2,33.5,6,
1931,13,61700004063,13,9,8.95,126,201,29,596.3,14,2,48.2,27.3,1,27.3,43.9,4.8,35,12.88,45.21,7.67,-14.5,18.5,0,12.88,44.38,5.75,-5.3,31,7,
1932,24,61700004063,6,6,9.14,117,228,16,529.2,15,1,102.7,34.9,1,34.9,53.4,5.5,43,7.67,50.68,11.51,-17.5,18,0,7.67,48.22,10.41,-8.1,33.2,8,
1933,30,61700004063,6,7,9.38,122,271,40,585.4,17,3,193.2,68.4,2,38.8,85.9,5.7,25,7.95,41.92,9.04,-15.9,16.8,0,7.95,46.03,8.77,-9,32.3,6,
1934,22,61700004063,0,5,9.68,73,246,8,481.1,9,4,156.8,34.4,2,34.4,55.2,5.4,63,2.47,64.11,15.07,-11.8,17.5,0,2.47,70.41,14.52,-3.6,32.9,0,
1935,14,61700004063,0,7,8.84,97,276,27,701.8,22,6,243.2,90.2,3,35.2,97.2,6.1,51,7.67,55.07,9.59,-12.3,19.8,0,7.67,53.42,8.49,-5.5,33.4,6,
1936,13,61700004063,0,7,8.11,98,201,12,799.2,22,4,251.1,43.5,1,43.5,77,5.7,22,10.96,57.26,12.6,-16.2,18,0,10.96,50.68,8.22,-2.6,31.3,0,
1937,19,61700004063,0,8,8.45,92,238,18,650.7,13,3,89,66.6,2,34.3,46.8,5.6,45,4.38,60.82,9.04,-8.6,17.5,0,4.38,53.7,7.12,-3.8,34.3,6,
1938,16,61700004063,0,11,8.92,89,277,20,578.7,14,1,93.1,0,1,26.1,40.5,5.2,41,10.96,55.62,10.41,-19,18.6,0,10.96,55.07,12.05,-10.2,32.5,0,
1939,15,61700004063,0,6,8.05,84,284,19,720.8,23,2,122.1,0,0,20.6,40.7,5.4,36,12.88,55.07,13.97,-22.7,17.2,0,12.88,43.84,9.59,-11.7,30,9,
1940,17,61700004063,6,10,8.56,108,220,59,734.6,18,6,208.3,88.4,3,31.7,75.9,5.9,23,21.64,47.12,7.67,-26.6,16.3,0,21.64,37.81,4.11,-14.8,28.3,0,
1941,15,61700004063,0,9,8.03,115,193,36,825.4,20,5,269.4,90.7,4,34.6,49.8,6.1,22,20.82,44.11,9.32,-19.2,18.4,0,20.82,36.71,4.93,-9.8,31.2,0,
1942,18,61700004063,11,5,8.8,122,238,46,543.2,12,3,89.4,0,2,26.6,55.4,5.2,36,15.62,44.38,9.32,-25.5,17,0,15.62,43.01,6.85,-13.3,31.5,6,
1943,41,61700004063,0,6,9.6,94,240,18,482.3,8,2,99.1,26.9,1,26.9,44.2,5.1,32,3.29,50.68,9.04,-16.6,20,0,3.29,56.71,14.52,-6,35,18,
1944,29,61700004063,0,7,8.03,92,218,18,680.4,18,4,161.9,28.4,1,28.4,51.3,5.4,35,12.6,55.62,9.86,-13,19.5,0,12.6,43.29,9.04,-4.7,33,10,
1945,19,61700004063,0,5,8.68,78,243,27,668.7,17,6,233.4,140.1,4,52.3,77.6,6.4,37,8.22,60.27,12.33,-15.3,19,0,8.22,52.88,11.51,-7.9,31.5,0,
1946,15,61700004063,7,7,9.01,98,231,26,676.5,22,3,177.6,70,2,38.6,56.8,6.3,29,10.14,52.05,9.86,-14.5,18.5,0,10.14,49.86,10.41,-8.8,31.8,6,
1947,24,61700004063,0,11,9.91,102,243,43,526.3,10,2,114.5,54.1,1,54.1,91.7,5.7,72,10.14,57.53,16.16,-18.3,19.4,0,10.14,59.45,18.9,-11,37.5,36,
1948,35,61700004063,0,9,8.98,79,299,19,625.1,17,3,182,70.3,2,38.4,84.4,6.3,32,10.68,56.71,18.36,-14.1,18.4,0,10.68,57.53,14.79,-4.7,31.4,15,
1949,32,61700004063,6,6,9.57,81,218,15,466.3,10,2,92,0,0,21.7,42.6,5.2,51,7.67,56.99,13.42,-13,19.6,0,7.67,61.1,16.99,-3.3,34.2,15,
1950,17,61700004063,0,8,8.83,95,224,29,740.3,18,3,135.5,0,1,25,43.5,5.8,38,8.22,54.52,14.79,-17.1,19.8,0,8.22,49.04,12.05,-10.8,32.7,0,
1951,21,61700004063,0,4,8.71,71,269,10,581.3,19,3,90.4,69.2,2,38.9,57.4,5.4,40,4.66,59.73,11.78,-11.7,17.6,0,4.66,60.55,6.85,-2.9,32,0,
1952,22,61700004063,0,7,8.3,100,236,22,788.6,23,5,219.7,29.7,1,29.7,49.4,6.3,39,10.68,49.86,12.33,-13.5,22.5,4,10.68,41.92,9.32,-7.2,36.2,20,
1953,33,61700004063,0,6,9.39,102,235,22,407.8,8,2,62.1,0,1,25.8,49.6,4.8,44,6.03,55.62,14.52,-15,17.6,0,6.03,56.44,13.97,-7.5,31.8,18,
1954,17,61700004063,15,7,8.55,91,246,26,735.1,19,3,180.4,102,2,59.9,96.9,5.9,20,12.05,52.6,7.12,-16.7,17,0,12.05,48.77,7.67,-10.9,32.8,0,
1955,22,61700004063,0,7,8.51,124,220,22,651.5,16,3,124.5,27.8,2,27.8,45.3,5.3,21,9.86,43.01,7.95,-17,16.6,0,9.86,38.9,3.84,-3.3,30.3,0,
1956,20,61700004063,22,9,8.42,107,220,46,787,19,6,271.4,100.2,4,40.5,55.1,6,16,20,42.74,9.59,-25.3,17.1,0,20,38.63,5.48,-15.3,27.8,0,
1957,19,61700004063,0,8,8.69,93,253,18,664.4,17,2,133.8,0,0,22.7,54.8,5.5,34,9.59,54.52,15.07,-13.8,20.6,2,9.59,52.6,11.78,-4.5,37.2,6,
1958,27,61700004063,0,6,8.3,88,286,16,709.1,18,2,159.7,86.7,2,52.9,91.4,6,31,8.22,53.7,9.86,-13.3,18.3,0,8.22,48.49,6.58,-3,31.4,8,
1959,35,61700004063,14,9,11.65,124,248,11,461.9,7,4,167.3,104.3,3,69.5,86.1,5.2,57,1.64,44.11,5.75,-12.6,19.8,0,1.64,66.58,16.99,-3.6,36,0,
1960,16,61700004063,0,7,9.45,91,285,18,613.4,12,2,117.7,44.9,1,44.9,49.7,4.6,28,7.67,48.49,8.77,-23.3,15.7,0,7.67,53.97,7.4,-9.4,31.8,0,
1961,27,61700004063,0,6,9.64,87,257,18,602.6,17,2,59.2,0,0,23.3,39.8,5.1,38,9.56,51.62,13.82,-17.6,17,0,9.56,56.96,18.01,-7.2,31.8,24,
1962,27,61700004063,29,7,9.98,113,196,29,464.1,9,0,33.5,0,0,17.2,43.6,4.4,34,16.78,35.12,6.23,-22.4,17.2,0,16.78,41.89,10.94,-11.8,34,7,
1963,20,61700004063,18,6,10.27,124,239,60,541.4,14,4,170.6,30.2,2,30.2,46,5.6,33,16.86,41.5,7.73,-25,17.8,0,16.86,45.59,4.9,-10.2,34,0,
1964,23,61700004063,7,6,9.94,102,252,30,384.7,6,1,25.1,0,1,25.1,34.5,4.1,56,10.6,45.17,9.49,-22.6,19.4,0,10.6,46.78,12.62,-9.8,34.5,0,
1965,32,61700004063,0,10,8.84,106,230,20,883.5,24,5,176.5,38.2,1,38.2,53.7,5.8,19,11.64,45.8,4,-19.2,17.5,0,11.64,44.86,4.88,-2.8,32.8,0,
1966,15,61700004063,6,8,8.79,84,266,17,822.6,24,3,146.3,57.4,2,29.5,75,5.6,34,9.65,52.4,13.38,-21.6,16.6,0,9.65,52.22,14.39,-10.4,34.3,0,
1967,18,61700004063,0,6,9.56,91,253,17,567.8,15,3,88.4,29,1,29,45.2,4.9,40,7.02,51.86,11.27,-21.5,18,0,7.02,58.36,12.96,-11.4,34.3,0,
1968,24,61700004063,0,10,8.92,111,234,28,687.9,20,5,185.4,67.5,3,34.3,70.9,5.8,32,9.31,48.77,10.4,-27.9,19,0,9.31,40.84,8.67,-13.5,30.6,7,
1969,26,61700004063,0,8,9.41,109,232,42,549.1,10,4,123.2,61.2,2,31.9,54.3,5.3,44,15.12,44.98,6.6,-25,19.4,0,15.12,48.97,9.59,-16.4,34.4,6,
1970,14,61700004063,0,5,8.38,105,221,32,683.2,14,3,122.6,0,1,26,58.3,5.1,37,10.85,47.43,11.35,-19,16.8,0,10.85,39.67,4.72,-6.9,30.8,0,
1971,31,61700004063,8,8,9.96,107,224,24,591.6,20,5,220.9,85.8,2,54.1,106,6.6,46,10.03,49.8,11.39,-22.2,18.4,0,10.03,57.39,11.22,-11.5,34.3,0,
1972,24,61700004063,6,7,9.2,119,245,24,620.5,15,3,212.2,122.7,3,48.6,64,6.4,26,11.66,43.26,7.42,-14.1,21,1,11.66,46.39,6.42,-5.6,32.2,15,
1973,37,61700004063,0,6,9.53,123,238,19,504.4,12,2,93.9,0,0,20.4,36.5,4.9,47,8.4,46.6,5.16,-19.9,17.7,0,8.4,46.41,6.34,-10.3,32.3,7,
1974,17,61700004063,0,12,8.77,65,287,2,709.2,16,1,89.4,0,0,20.4,54,5.3,28,12.65,56.01,12.51,-11.7,16.3,0,12.65,52.98,15.07,-0.8,34.4,7,
1975,25,61700004063,0,6,8.9,82,253,8,492.1,9,1,112.1,75.3,1,75.3,94,4.8,54,7.78,57.29,13.34,-13,18.7,0,7.78,57.44,10.9,-3.5,31.6,6,
1976,33,61700004063,0,7,9.84,99,238,19,424.8,6,2,65.2,0,1,26.7,48.5,4.9,51,9,47.73,11.75,-20.2,18.8,0,9,54.71,14.8,-9.1,34,12,
1977,17,61700004063,0,5,8.65,76,271,9,664.2,16,1,89.2,54,1,54,61.1,5.7,31,8.07,57.53,13.59,-15.3,16.6,0,8.07,51.22,12.83,-4,31,6,
1978,33,61700004063,0,10,8.31,89,224,24,588.6,11,5,191.7,75.9,2,39.6,49.7,5.8,21,13.57,49.16,7.24,-16.2,17.2,0,13.57,41.13,6.64,-4.1,30.3,0,
1979,17,61700004063,7,6,9.11,105,243,20,610.8,15,2,101.2,0,0,23.9,47.1,5.3,36,10.49,47.76,8.94,-22.5,16.5,0,10.49,45.55,10.41,-12.1,31.2,8,
1980,18,61700004063,0,9,8.47,102,221,29,627.7,16,4,151.7,71.7,3,41.8,52.7,5,22,16.11,40.78,7.35,-17,18.9,0,16.11,43.49,6.13,-7.2,32.3,0,
1981,23,61700004063,0,10,8.64,103,245,31,768.9,23,4,177.6,103,3,45.6,71.9,6.1,32,14.03,54.16,12.65,-15.2,18,0,14.03,45.68,10.38,-7.6,31.2,6,
1982,20,61700004063,0,7,9.58,89,247,21,511.7,8,1,51.2,34.8,1,34.8,38.6,4.6,57,4.99,52.95,10.41,-26.4,17.7,0,4.99,53.69,12.05,-13.1,32.3,16,
1983,24,61700004063,0,8,9.51,99,238,24,564.5,13,3,103.7,0,0,23.4,58.5,5,65,9.42,56.12,14.92,-14.8,19.5,0,9.42,58.28,15.33,-5.1,36.1,0,
1984,27,61700004063,0,6,8.59,108,233,9,650,16,5,235.9,80.1,2,52.2,61.7,5.7,26,11.3,48.51,5.34,-14,18.6,0,11.3,45.96,4.67,-3.7,35.5,0,
1985,21,61700004063,27,7,9.92,123,211,42,495.2,8,1,100.2,62.5,1,62.5,76.8,4.4,38,16.34,41.59,9.62,-24.4,17,0,16.34,48.9,9.62,-13.5,32.5,0,
1986,21,61700004063,0,12,9.2,95,225,31,687.7,17,0,108.3,0,0,19.6,55.1,5.5,47,12.67,50.25,10.55,-19.3,17.2,0,12.67,51.03,10.66,-9.4,32.8,0,
1987,20,61700004063,13,8,8.54,101,225,36,686.8,15,5,204,77.7,4,42.5,58.9,6.1,30,15.87,46.41,13.26,-23.2,18.5,0,15.87,40.31,7.29,-13.4,32.2,0,
1988,12,61700004063,0,8,8.65,78,307,5,697.2,19,1,120.8,47.8,1,47.8,51.4,5.2,38,3.91,64.77,15.56,-16.8,16.9,0,3.91,59.88,8.79,-4.8,32.6,6,
1989,32,61700004063,0,8,9.55,84,251,15,554.7,15,4,136.6,58.9,2,30.3,40.8,5.5,54,3.82,57.22,17.41,-12.5,17.8,0,3.82,60.6,17.31,-2.6,34.2,19,
1990,28,61700004063,0,8,9.76,74,259,11,641.5,17,2,197.8,31.2,1,31.2,61,6,40,2.78,56.32,10.56,-11.8,17.4,0,2.78,57.18,19.35,-3.7,34.1,15,
1991,17,61700004063,13,6,10.05,110,234,23,416.6,9,2,102.7,29.7,1,29.7,37.5,5.1,46,7.95,44.66,10.96,-15.8,20.2,1,7.95,50.41,12.33,-8.1,34.1,7,
1992,14,61700004063,0,7,9.16,81,250,13,649.8,17,4,196.3,62.7,2,35.2,54.6,5.7,55,5.48,61.1,16.44,-13.9,18.4,0,5.48,59.18,13.7,-3,35.1,0,
1993,19,61700004063,6,5,9.47,100,249,25,595.7,17,2,92.4,75.5,2,45.5,73.2,5.4,44,10.14,55.34,11.51,-15.4,16.7,0,10.14,51.23,15.89,-4.8,32,14,
1994,18,61700004063,0,7,9.33,62,293,4,590.8,15,2,106.6,73.7,2,45.2,59.9,5,58,4.11,65.48,24.93,-14.3,21.8,1,4.11,67.12,21.37,-1.6,35.5,17,
1995,22,61700004063,0,10,8.97,95,280,16,760.5,22,6,212.8,134.3,4,39.3,64,6.3,58,6.3,55.34,16.99,-12.2,17.8,0,6.3,51.23,15.89,-6,34.7,7,
1996,33,61700004063,14,7,9.26,118,222,34,652.1,17,5,217.7,121.6,3,53.7,108.8,6.7,35,12.6,43.29,6.3,-21.6,17.9,0,12.6,42.19,6.03,-9.4,33.1,21,
1997,24,61700004063,0,7,10.12,98,247,18,579.5,16,2,121.4,0,1,25.7,50.5,5.4,62,4.11,52.6,13.42,-17,17.5,0,4.11,58.63,15.34,-6.6,33.3,9,
1998,22,61700004063,6,9,9.63,97,273,15,711.8,23,6,264.8,27.3,1,27.3,70.4,5.5,43,7.67,53.15,16.16,-19.9,17.5,0,7.67,54.52,18.9,-4.3,37.7,36,
1999,14,61700004063,0,6,9.52,85,232,13,652.1,13,2,112.5,37.6,1,37.6,60.9,5.3,52,3.01,59.73,15.62,-13.7,18.8,0,3.01,63.01,13.97,-3.4,33,8,
1879,-99.9,LOCID000043,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,HAMBURG FUHLSBUETTEL
1880,-99.9,LOCID000043,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,HAMBURG FUHLSBUETTEL
1881,-99.9,LOCID000043,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,HAMBURG FUHLSBUETTEL
1882,-99.9,LOCID000043,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,HAMBURG FUHLSBUETTEL
1883,-99.9,LOCID000043,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,HAMBURG FUHLSBUETTEL
1884,-99.9,LOCID000043,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,HAMBURG FUHLSBUETTEL
1885,-99.9,LOCID000043,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,HAMBURG FUHLSBUETTEL
1886,-99.9,LOCID000043,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9,HAMBURG FUHLSBUETTEL
