Station ID,year,n_rain,R5mm,R10mm,R20mm,SDII,PRCPTOT,CDD,CWD,Rx1day,Rx5day,R95pTOT,R99pTOT,n_maxdy,n_mindy,FD,TR,SU,ID,TNn,TNx,TXn,TXx,DTR,TN10p,TN90p,TX10p,TX90p,WSDI,CSDI,GSL,Latitude,Longitude,Direction
ATHENRY,2013,365,78.0,33.0,9.0,6.703,1112.7,29.1,87.3,,,19.0,16.0,365.0,365.0,55.0,0.0,7.0,0.0,-6.326,16.01,2.57,29.23,7.216,,,,,,,321.0,53.3,-8.8,north-west
ATHENRY,2014,365,96.0,35.0,5.0,6.468,1235.3,31.9,58.1,,,18.0,14.0,365.0,365.0,29.0,0.0,2.0,0.0,-4.72,16.42,4.791,26.65,7.532,,,,,,,337.0,53.3,-8.8,north-west
ATHENRY,2015,365,116.0,50.0,10.0,7.527,1543.1,34.5,85.3,,,13.0,24.0,365.0,365.0,29.0,0.0,0.0,0.0,-5.38,15.35,2.837,22.83,7.469,,,,,,,353.0,53.3,-8.8,north-west
ATHENRY,2016,366,76.0,23.0,3.0,5.623,1045.8,30.0,59.2,,,17.0,17.0,366.0,366.0,45.0,0.0,2.0,0.0,-5.104,16.99,3.212,28.41,7.238,,,,,,,304.0,53.3,-8.8,north-west
ATHENRY,2017,365,80.0,33.0,6.0,5.958,1167.8,38.0,62.4,,,15.0,12.0,364.0,364.0,30.0,0.0,0.0,0.0,-4.056,16.63,2.149,24.96,6.932,,,,,,,338.0,53.3,-8.8,north-west
ATHENRY,2018,365,78.0,25.0,2.0,5.743,1051.0,25.5,54.1,,,24.0,15.0,365.0,365.0,45.0,0.0,10.0,1.0,-6.763,16.44,-0.432,30.17,7.545,,,,,,,340.0,53.3,-8.8,north-west
ATHENRY,2019,365,95.0,48.0,8.0,7.177,1399.5,58.3,107.7,,,9.0,17.0,365.0,365.0,32.0,0.0,0.0,0.0,-5.137,17.94,3.175,24.28,7.209,,,,,,,311.0,53.3,-8.8,north-west
ATHENRY,2020,366,104.0,47.0,12.0,7.776,1446.4,35.3,96.7,,,15.0,23.0,366.0,366.0,31.0,0.0,2.0,0.0,-4.517,16.07,2.94,26.64,7.299,,,,,,,337.0,53.3,-8.8,north-west
ATHENRY,2021,365,88.0,31.0,4.0,6.462,1085.7,26.1,62.6,,,17.0,10.0,365.0,365.0,33.0,0.0,12.0,0.0,-6.408,17.01,2.332,29.49,7.341,,,,,,,316.0,53.3,-8.8,north-west
ATHENRY,2022,365,92.0,38.0,4.0,6.492,1155.5,30.1,56.7,,,20.0,25.0,365.0,365.0,36.0,0.0,7.0,2.0,-8.11,16.19,-1.503,30.47,7.733,,,,,,,333.0,53.3,-8.8,north-west
