Region,Year,Avg Precipitation,Avg Max Temp
north-central,1953,717.8,
north-central,1955,781.4,
north-central,1956,900.7,
north-central,1957,929.3,
north-central,1958,1008.6,
north-central,1959,898.5,
north-central,1960,1135.3,
north-central,1961,937.5,
north-central,1962,843.2,
north-central,1963,824.2,
north-central,1964,876.9,
north-central,1965,1025.1,
north-central,1966,978.4,
north-central,1967,991.7,
north-central,1968,1042.4,
north-central,1969,734.9,
north-central,1970,924.5,
north-central,1971,693.1,
north-central,1972,877.4,
north-central,1973,810.0,
north-central,1974,942.4,
north-central,1975,742.8,
north-central,1976,819.8,
north-central,1977,948.8,
north-central,1978,867.8,
north-central,1979,971.8,
north-central,1980,1036.2,
north-central,1982,1037.1,
north-central,1983,888.6,
north-central,1984,854.0,
north-central,1985,984.0,
north-central,1986,1130.6,
north-central,1987,752.5,
north-central,2013,896.5,29.63
north-central,2014,1051.0,27.43
north-central,2015,1309.1,23.93
north-central,2016,980.9,30.38
north-central,2017,946.3,26.19
north-central,2018,929.8,30.47
north-central,2019,1142.1,25.4
north-central,2020,1227.0,26.77
north-central,2021,978.2,30.8
north-central,2022,1032.0,31.41
north-central,2023,1305.5,28.1
north-east,1941,723.6999999999999,
north-east,1942,686.55,24.1
north-east,1943,655.9333333333334,24.5
north-east,1944,784.95,24.2
north-east,1945,657.95,23.2
north-east,1946,963.175,23.1
north-east,1947,987.925,25.0
north-east,1948,918.4,25.9
north-east,1949,635.0,26.2
north-east,1950,849.0,27.4
north-east,1951,833.85,23.233333333333334
north-east,1952,696.575,24.599999999999998
north-east,1953,629.775,24.599999999999998
north-east,1954,917.04,23.133333333333336
north-east,1955,744.8799999999999,28.066666666666666
north-east,1956,804.1600000000001,23.633333333333336
north-east,1957,897.9,25.1
north-east,1958,1023.5500000000001,23.875
north-east,1959,758.1833333333334,25.125
north-east,1960,1038.0333333333333,23.7
north-east,1961,798.1999999999999,23.5
north-east,1962,783.9833333333332,22.68
north-east,1963,749.4,24.48
north-east,1964,772.3833333333333,22.78333333333333
north-east,1965,931.5,23.04
north-east,1966,980.3142857142857,23.21666666666667
north-east,1967,883.0142857142857,22.87142857142857
north-east,1968,833.5,24.066666666666666
north-east,1969,754.9428571428572,25.75714285714286
north-east,1970,826.3571428571429,25.82857142857143
north-east,1971,655.1428571428571,24.599999999999998
north-east,1972,785.3000000000001,23.580000000000002
north-east,1973,750.7714285714285,25.400000000000002
north-east,1974,782.4,22.785714285714285
north-east,1975,647.7428571428571,28.02857142857143
north-east,1976,759.9714285714286,27.62857142857143
north-east,1977,808.7428571428571,25.071428571428573
